provider_npi,provider_id,hospital_name,address,city,state,state_code,zipcode,county_name,phone_number,hospital_type,hospital_ownership,emergency_services
1578525432,100014,BERT FISH MEDICAL CENTER,401 PALMETTO ST,NEW SMYRNA BEACH,FL,12,32170,VOLUSIA,(386)424-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1417992447,100017,HALIFAX HEALTH MEDICAL CENTER,303 N CLYDE MORRIS BLVD,DAYTONA BEACH,FL,12,32114,VOLUSIA,(386)254-4000,Acute Care Hospitals,Government - Hospital District or Authority,Yes
1417992447,100018,NAPLES COMMUNITY HOSPITAL,350 7TH ST N,NAPLES,FL,12,34102,COLLIER,(239)436-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1053352732,100019,HOLMES REGIONAL MEDICAL CENTER,1350 S HICKORY ST,MELBOURNE,FL,12,32901,BREVARD,(321)434-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1376597641,100022,JACKSON MEMORIAL HOSPITAL,1611 NW 12TH AVE,MIAMI,FL,12,33136,MIAMI-DADE,(305)585-1111,Acute Care Hospitals,Government - Hospital District or Authority,Yes
1053352732,100023,CITRUS MEMORIAL HOSPITAL,502 W HIGHLAND BLVD,INVERNESS,FL,12,34452,CITRUS,(352)726-1551,Acute Care Hospitals,Government - Hospital District or Authority,Yes
1790847903,100025,SACRED HEART HOSPITAL,5151 N 9TH AVE,PENSACOLA,FL,12,32504,ESCAMBIA,(850)416-7000,Acute Care Hospitals,Voluntary non-profit - Other,Yes
1790847903,100026,BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM,615 N BONITA AVE,PANAMA CITY,FL,12,32401,BAY,(850)769-1511,Acute Care Hospitals,Government - Hospital District or Authority,Yes
1790847903,100028,PARRISH MEDICAL CENTER,951 N WASHINGTON AVE,TITUSVILLE,FL,12,32796,BREVARD,(321)268-6111,Acute Care Hospitals,Government - Hospital District or Authority,Yes
1922023001,100029,NORTH SHORE MEDICAL CENTER,1100 NW 95TH ST,MIAMI,FL,12,33150,MIAMI-DADE,(305)835-6000,Acute Care Hospitals,Proprietary,Yes
1124050570,100030,HEALTH CENTRAL,10000 W COLONIAL DR,OCOEE,FL,12,34761,ORANGE,(407)296-1820,Acute Care Hospitals,Government - State,Yes
1124050570,100032,BAYFRONT HEALTH - ST PETERSBURG,701 6TH ST S,SAINT PETERSBURG,FL,12,33701,PINELLAS,(727)823-1234,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1346439213,100034,MOUNT SINAI MEDICAL CENTER,4300 ALTON RD,MIAMI BEACH,FL,12,33140,MIAMI-DADE,(305)674-2121,Acute Care Hospitals,Proprietary,Yes
1659590792,100035,MANATEE MEMORIAL HOSPITAL,206 2ND ST E,BRADENTON,FL,12,34208,MANATEE,(941)746-5111,Acute Care Hospitals,Proprietary,Yes
1659590792,100038,MEMORIAL REGIONAL HOSPITAL,3501 JOHNSON ST,HOLLYWOOD,FL,12,33021,BROWARD,(954)987-2000,Acute Care Hospitals,Government - Hospital District or Authority,Yes
1023082757,100039,BROWARD HEALTH MEDICAL CENTER,1600 S ANDREWS AVE,FORT LAUDERDALE,FL,12,33316,BROWARD,(954)355-4400,Acute Care Hospitals,Government - Hospital District or Authority,Yes
1659670123,100040,ST VINCENT'S MEDICAL CENTER,1 SHIRCLIFF WAY,JACKSONVILLE,FL,12,32204,DUVAL,(904)308-7300,Acute Care Hospitals,Voluntary non-profit - Church,Yes
1659670123,100043,MEASE HOSPITAL DUNEDIN,601 MAIN STREET,DUNEDIN,FL,12,34698,PINELLAS,(727)733-1111,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1992930572,100044,MARTIN MEDICAL CENTER,200 SE HOSPITAL AVE,STUART,FL,12,34995,MARTIN,(772)287-5200,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1992930572,100045,FLORIDA HOSPITAL DELAND,701 W PLYMOUTH AVE,DELAND,FL,12,32720,VOLUSIA,(386)943-4772,Acute Care Hospitals,Voluntary non-profit - Church,Yes
1356358709,100046,FLORIDA HOSPITAL ZEPHYRHILLS,7050 GALL BLVD,ZEPHYRHILLS,FL,12,33541,PASCO,(813)788-0411,Acute Care Hospitals,Voluntary non-profit - Church,Yes
1336318344,100047,BAYFRONT HEALTH PUNTA GORDA,809 E MARION AVE,PUNTA GORDA,FL,12,33950,CHARLOTTE,(941)639-3131,Acute Care Hospitals,Proprietary,Yes
1336318344,100048,JAY HOSPITAL,14114 ALABAMA ST,JAY,FL,12,32565,SANTA ROSA,(850)675-4532,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1750437562,100049,HIGHLANDS REGIONAL MEDICAL CENTER,3600 S HIGHLANDS AVE,SEBRING,FL,12,33870,HIGHLANDS,(863)385-6101,Acute Care Hospitals,Proprietary,Yes
1154429959,10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,1,35957,MARSHALL,(256)593-8310,Acute Care Hospitals,Government - Hospital District or Authority,Yes
1154429959,100050,PALM SPRINGS GENERAL HOSPITAL,1475 W 49TH ST,HIALEAH,FL,12,33012,MIAMI-DADE,(305)558-2500,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1023082757,100051,SOUTH LAKE HOSPITAL,1900 DON WICKHAM DR,CLERMONT,FL,12,34711,LAKE,(352)394-4071,Acute Care Hospitals,Government - Hospital District or Authority,Yes
1912969379,100052,WINTER HAVEN HOSPITAL,200 AVE F NE,WINTER HAVEN,FL,12,33881,POLK,(863)293-1121,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1912969379,100053,HIALEAH HOSPITAL,651 E 25TH ST,HIALEAH,FL,12,33013,MIAMI-DADE,(305)693-6100,Acute Care Hospitals,Proprietary,Yes
1982641239,100054,TWIN CITIES HOSPITAL,2190 HWY 85 N,NICEVILLE,FL,12,32578,OKALOOSA,(850)678-4131,Acute Care Hospitals,Proprietary,Yes
1982641239,100055,FLORIDA HOSPITAL NORTH PINELLAS,1395 S PINELLAS AVE,TARPON SPRINGS,FL,12,34689,PINELLAS,(727)942-5000,Acute Care Hospitals,Voluntary non-profit - Other,Yes
1063412484,100057,FLORIDA HOSPITAL WATERMAN,1000 WATERMAN WAY,TAVARES,FL,12,32778,LAKE,(352)253-3300,Acute Care Hospitals,Voluntary non-profit - Church,Yes
1063412484,10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,1,35631,LAUDERDALE,(256)768-8400,Acute Care Hospitals,Government - Hospital District or Authority,Yes
1245296755,100062,MUNROE REGIONAL MEDICAL CENTER,1500 SW 1ST AVE,OCALA,FL,12,34474,MARION,(352)351-7200,Acute Care Hospitals,Government - Hospital District or Authority,Yes
1245296755,100063,MORTON PLANT NORTH BAY HOSPITAL,6600 MADISON STREET,NEW PORT RICHEY,FL,12,34652,PASCO,(727)842-8468,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1831353655,100067,ST ANTHONY'S HOSPITAL,1200 7TH AVENUE NORTH,SAINT PETERSBURG,FL,12,33705,PINELLAS,(727)825-1100,Acute Care Hospitals,Voluntary non-profit - Church,Yes
1861440281,100068,FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER,301 MEMORIAL MEDICAL PARKWAY,DAYTONA BEACH,FL,12,32117,VOLUSIA,(386)676-6000,Acute Care Hospitals,Voluntary non-profit - Church,Yes
1023082757,100069,FLORIDA HOSPITAL CARROLLWOOD,7171 NORTH DALE MABRY,TAMPA,FL,12,33614,HILLSBOROUGH,(813)932-2222,Acute Care Hospitals,Voluntary non-profit - Church,Yes
1861440281,10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,1,36467,COVINGTON,(334)493-3541,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1033373493,100070,VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH,540 THE RIALTO,VENICE,FL,12,34285,SARASOTA,(941)485-7711,Acute Care Hospitals,Proprietary,Yes
1033373493,100071,BAYFRONT HEALTH BROOKSVILLE,17240 CORTEZ BLVD,BROOKSVILLE,FL,12,34601,HERNANDO,(352)796-5111,Acute Care Hospitals,Voluntary non-profit - Church,Yes
1720007743,100072,FLORIDA HOSPITAL FISH MEMORIAL,1055 SAXON BLVD,ORANGE CITY,FL,12,32763,VOLUSIA,(386)917-5000,Acute Care Hospitals,Voluntary non-profit - Church,Yes
1851304299,100073,HOLY CROSS HOSPITAL INC,4725 N FEDERAL HWY,FORT LAUDERDALE,FL,12,33308,BROWARD,(954)771-8000,Acute Care Hospitals,Voluntary non-profit - Church,Yes
1285665695,100075,ST JOSEPH'S HOSPITAL,3001 W MARTIN LUTHER KING JR BLVD,TAMPA,FL,12,33677,HILLSBOROUGH,(813)870-4398,Acute Care Hospitals,Voluntary non-profit - Church,Yes
1285665695,100076,METROPOLITAN HOSPITAL OF MIAMI,5959 NW 7TH ST,MIAMI,FL,12,33126,MIAMI-DADE,(305)264-1000,Acute Care Hospitals,Proprietary,Yes
1144246042,100077,BAYFRONT HEALTH PORT CHARLOTTE,2500 HARBOR BLVD,PORT CHARLOTTE,FL,12,33952,CHARLOTTE,(941)766-4122,Acute Care Hospitals,Proprietary,Yes
1144246042,100079,UNIVERSITY OF MIAMI HOSPITAL AND CLINICS,1475 NW 12TH AVE,MIAMI,FL,12,33136,MIAMI-DADE,(305)284-2211,Acute Care Hospitals,Voluntary non-profit - Other,No
1114121571,10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,1,36049,CRENSHAW,(334)335-3374,Acute Care Hospitals,Proprietary,No
1194816447,100080,JFK MEDICAL CENTER,5301 S CONGRESS AVE,ATLANTIS,FL,12,33462,PALM BEACH,(561)965-7300,Acute Care Hospitals,Proprietary,Yes
1114121571,100081,HEALTHMARK REGIONAL MEDICAL CENTER,4413 US HWY 331 S,DEFUNIAK SPRINGS,FL,12,32435,WALTON,(850)951-4500,Acute Care Hospitals,Government - State,Yes
1861451452,100084,LEESBURG REGIONAL MEDICAL CENTER,600 E DIXIE AVE,LEESBURG,FL,12,34748,LAKE,(352)323-5762,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1861451452,100086,BROWARD HEALTH NORTH,201 E SAMPLE RD,POMPANO BEACH,FL,12,33064,BROWARD,(954)786-6950,Acute Care Hospitals,Government - Hospital District or Authority,Yes
1831308303,100087,SARASOTA MEMORIAL HOSPITAL,1700 S TAMIAMI TRL,SARASOTA,FL,12,34239,SARASOTA,(941)917-9000,Acute Care Hospitals,Government - Hospital District or Authority,Yes
1831308303,100088,BAPTIST MEDICAL CENTER,800 PRUDENTIAL DR,JACKSONVILLE,FL,12,32207,DUVAL,(904)202-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1861421281,100090,FLAGLER HOSPITAL,400 HEALTH PARK BLVD,SAINT AUGUSTINE,FL,12,32086,SAINT JOHNS,(904)819-4426,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1780841312,100092,WUESTHOFF MEDICAL CENTER  ROCKLEDGE,110 LONGWOOD AVE,ROCKLEDGE,FL,12,32955,BREVARD,(321)637-2603,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1780841312,100093,BAPTIST HOSPITAL,1000 W MORENO ST,PENSACOLA,FL,12,32501,ESCAMBIA,(850)434-4011,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1144259649,100099,LAKE WALES MEDICAL CENTER,410 S 11TH ST,LAKE WALES,FL,12,33853,POLK,(863)676-1433,Acute Care Hospitals,Proprietary,Yes
1144259649,10009,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,12,33708,PINELLAS,(727)398-6661,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
1194816447,100102,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,368 NE FRANKLIN ST,LAKE CITY,FL,12,32055,COLUMBIA,(386)292-8000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1144259649,100105,INDIAN RIVER MEDICAL CENTER,1000 36TH ST,VERO BEACH,FL,12,32960,INDIAN RIVER,(772)567-4311,Acute Care Hospitals,Government - Hospital District or Authority,Yes
1295796134,100106,DOCTOR'S MEMORIAL HOSPITAL INC,333 N BYRON BUTLER PKWY,PERRY,FL,12,32348,TAYLOR,(850)584-0800,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1295796134,100107,LEHIGH REGIONAL MEDICAL CENTER,1500 LEE BLVD,LEHIGH ACRES,FL,12,33936,LEE,(239)369-2101,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1881635084,100109,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER,4200 SUN N' LAKE BLVD,SEBRING,FL,12,33871,HIGHLANDS,(863)314-4466,Acute Care Hospitals,Voluntary non-profit - Church,Yes
1528052354,10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,1,35235,JEFFERSON,(205)838-3122,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1528052354,100110,OSCEOLA REGIONAL MEDICAL CENTER,700 WEST OAK STREET,KISSIMMEE,FL,12,34741,OSCEOLA,(407)846-2266,Acute Care Hospitals,Proprietary,Yes
1043208630,100113,UF HEALTH SHANDS HOSPITAL,1600 SW ARCHER RD,GAINESVILLE,FL,12,32610,ALACHUA,(352)265-8000,Acute Care Hospitals,Government - Federal,Yes
1043208630,100117,BAPTIST MEDICAL CENTER  BEACHES,1350 13TH AVE S,JACKSONVILLE BEACH,FL,12,32250,DUVAL,(904)247-2900,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1043208630,100118,FLORIDA HOSPITAL FLAGLER,60 MEMORIAL MEDICAL PKWY,PALM COAST,FL,12,32164,FLAGLER,(386)586-2000,Acute Care Hospitals,Voluntary non-profit - Church,Yes
1316949720,10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,1,35968,DE KALB,(256)845-3150,Acute Care Hospitals,Proprietary,Yes
1730149188,100121,BARTOW REGIONAL MEDICAL CENTER,2200 OSPREY BLVD,BARTOW,FL,12,33831,POLK,(863)533-8111,Acute Care Hospitals,Proprietary,Yes
1548202443,100122,NORTH OKALOOSA MEDICAL CENTER,151 REDSTONE AVE SE,CRESTVIEW,FL,12,32539,OKALOOSA,(850)689-8100,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1548202443,100124,SANTA ROSA MEDICAL CENTER,6002 BERRYHILL RD,MILTON,FL,12,32570,SANTA ROSA,(850)626-7762,Acute Care Hospitals,Proprietary,Yes
1548202443,100125,HOMESTEAD HOSPITAL,975 BAPTIST WAY,HOMESTEAD,FL,12,33033,MIAMI-DADE,(786)243-8000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1386610228,100126,PALMS OF PASADENA HOSPITAL,1501 PASADENA AVE SOUTH,SAINT PETERSBURG,FL,12,33707,PINELLAS,(727)381-1000,Acute Care Hospitals,Proprietary,Yes
1386610228,100127,MORTON PLANT HOSPITAL,300 PINELLAS ST,CLEARWATER,FL,12,33756,PINELLAS,(727)462-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1790784163,100128,TAMPA GENERAL HOSPITAL,1 TAMPA GENERAL CIRCLE,TAMPA,FL,12,33606,HILLSBOROUGH,(813)844-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1265581714,100130,LAKESIDE MEDICAL CENTER,39200 HOOKER HWY,BELLE GLADE,FL,12,33430,PALM BEACH,(561)996-6571,Acute Care Hospitals,Government - Hospital District or Authority,Yes
1265581714,100131,AVENTURA HOSPITAL AND MEDICAL CENTER,20900 BISCAYNE BLVD,AVENTURA,FL,12,33180,MIAMI-DADE,(305)682-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1295773570,100132,SOUTH FLORIDA BAPTIST HOSPITAL,301 N ALEXANDER ST,PLANT CITY,FL,12,33563,HILLSBOROUGH,(813)757-1200,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1295773570,100134,ED FRASER MEMORIAL HOSPITAL,159 N 3RD ST,MACCLENNY,FL,12,32063,BAKER,(904)259-3151,Acute Care Hospitals,Voluntary non-profit - Private,No
1992706626,100135,TALLAHASSEE MEMORIAL HOSPITAL,1300 MICCOSUKEE RD,TALLAHASSEE,FL,12,32308,LEON,(850)431-1155,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1730149188,100137,HEART OF FLORIDA REGIONAL MEDICAL CENTER,40100 US HWY 27 N,DAVENPORT,FL,12,33837,POLK,(863)422-4971,Acute Care Hospitals,Proprietary,Yes
1295773570,100140,BAPTIST MEDICAL CENTER - NASSAU,1250 S 18TH ST,FERNANDINA BEACH,FL,12,32034,NASSAU,(904)321-3500,Acute Care Hospitals,Government - Local,Yes
1467462416,100142,JACKSON HOSPITAL,4250 HOSPITAL DR,MARIANNA,FL,12,32446,JACKSON,(850)718-2620,Acute Care Hospitals,Government - Hospital District or Authority,Yes
1922031574,100150,LOWER KEYS MEDICAL CENTER,5900 COLLEGE ROAD,KEY WEST,FL,12,33040,MONROE,(305)294-5531,Acute Care Hospitals,Proprietary,Yes
1922031574,100151,MAYO CLINIC,4500 SAN PABLO RD,JACKSONVILLE,FL,12,32224,DUVAL,(904)953-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1144289398,100154,"SOUTH MIAMI HOSPITAL, INC",6200 SW 73RD ST,SOUTH MIAMI,FL,12,33143,MIAMI-DADE,(786)662-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1144289398,100156,LAKE CITY MEDICAL CENTER,340 NW COMMERCE DR,LAKE CITY,FL,12,32055,COLUMBIA,(386)719-9000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1033129234,100157,LAKELAND REGIONAL MEDICAL CENTER,1324 LAKELAND HILLS BLVD,LAKELAND,FL,12,33805,POLK,(863)687-1100,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1033129234,10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,1,35007,SHELBY,(205)620-8100,Acute Care Hospitals,Voluntary non-profit - Church,Yes
1750330015,100161,CENTRAL FLORIDA REGIONAL HOSPITAL,1401 W SEMINOLE BLVD,SANFORD,FL,12,32771,SEMINOLE,(407)321-4500,Acute Care Hospitals,Proprietary,Yes
1750330015,100166,DOCTORS HOSPITAL OF SARASOTA,5731 BEE RIDGE RD,SARASOTA,FL,12,34233,SARASOTA,(941)342-1100,Acute Care Hospitals,Proprietary,Yes
1730149188,100167,PLANTATION GENERAL HOSPITAL,401 NW 42ND AVE,PLANTATION,FL,12,33317,BROWARD,(954)587-5010,Acute Care Hospitals,Proprietary,Yes
1861486623,100168,BOCA RATON REGIONAL HOSPITAL,800 MEADOWS RD,BOCA RATON,FL,12,33486,PALM BEACH,(561)362-5002,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1861486623,100173,FLORIDA HOSPITAL TAMPA,3100 E FLETCHER AVE,TAMPA,FL,12,33613,HILLSBOROUGH,(813)615-7200,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1770534083,100175,DESOTO MEMORIAL HOSPITAL,900 N ROBERT AVE,ARCADIA,FL,12,34265,DE SOTO,(863)494-3535,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1790739423,100176,PALM BEACH GARDENS MEDICAL CENTER,3360 BURNS RD,PALM BEACH GARDENS,FL,12,33410,PALM BEACH,(561)622-1411,Acute Care Hospitals,Proprietary,Yes
1104835040,100177,CAPE CANAVERAL HOSPITAL,701 W COCOA BEACH CAUSEWAY,COCOA BEACH,FL,12,32932,BREVARD,(321)799-7111,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1104835040,100179,MEMORIAL HOSPITAL JACKSONVILLE,3625 UNIVERSITY BLVD S,JACKSONVILLE,FL,12,32216,DUVAL,(904)399-6111,Acute Care Hospitals,Proprietary,Yes
1730137878,10018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,1,35233,JEFFERSON,(205)325-8100,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1255372892,100180,ST PETERSBURG GENERAL HOSPITAL,6500 38TH AVE N,SAINT PETERSBURG,FL,12,33710,PINELLAS,(727)384-1414,Acute Care Hospitals,Proprietary,Yes
1497804405,100181,LARKIN COMMUNITY HOSPITAL,7031 SW 62ND AVE,SOUTH MIAMI,FL,12,33143,MIAMI-DADE,(305)284-7500,Acute Care Hospitals,Proprietary,Yes
1477555100,100183,CORAL GABLES HOSPITAL,3100 DOUGLAS RD,CORAL GABLES,FL,12,33134,MIAMI-DADE,(305)445-8461,Acute Care Hospitals,Proprietary,Yes
1801886106,100187,PALMETTO GENERAL HOSPITAL,2001 W 68TH ST,HIALEAH,FL,12,33016,MIAMI-DADE,(305)823-5000,Acute Care Hospitals,Proprietary,Yes
1457519001,100189,NORTHWEST MEDICAL CENTER,2801 N STATE RD 7,MARGATE,FL,12,33063,BROWARD,(954)974-0400,Acute Care Hospitals,Proprietary,Yes
1982692265,10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,1,35660,COLBERT,(256)386-4556,Acute Care Hospitals,Government - Hospital District or Authority,Yes
