hcahps_id,provider_id,hcahps_measure_id,hcahps_question,hcahps_answer_description,hcahps_answer_percent,number_of_completed_surveys,survey_response_rate,footnote,measure_start_date,measure_end_date
F10001,5114,H_COMP_3_U_P,"Patients who reported that they ""Usually"" received help as soon as they wanted","Patients ""usually"" received help as soon as they wanted",7,Fewer than 100,32,10,10/1/12,9/30/13
F100010,5127,H_COMP_1_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well",2,Between 100 and 299,35,,10/1/12,9/30/13
F100011,5128,H_COMP_1_U_P,"Patients who reported that their nurses ""Usually"" communicated well","Nurses ""usually"" communicated well",16,Between 100 and 299,35,,10/1/12,9/30/13
F100012,5130,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",90,Between 100 and 299,35,,10/1/12,9/30/13
F100013,6005,H_COMP_2_SN_P,"Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well","Doctors ""sometimes"" or ""never"" communicated well",0,Between 100 and 299,35,,10/1/12,9/30/13
F100014,6007,H_COMP_2_U_P,"Patients who reported that their doctors ""Usually"" communicated well","Doctors ""usually"" communicated well",10,Between 100 and 299,35,,10/1/12,9/30/13
F100015,7003,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""always"" received help as soon as they wanted",76,Between 100 and 299,35,,10/1/12,9/30/13
F100016,8002,H_COMP_3_SN_P,"Patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted","Patients ""sometimes"" or ""never"" received help as soon as they wanted",5,Between 100 and 299,35,,10/1/12,9/30/13
F100017,9002,H_COMP_3_U_P,"Patients who reported that they ""Usually"" received help as soon as they wanted","Patients ""usually"" received help as soon as they wanted",19,Between 100 and 299,35,,10/1/12,9/30/13
F100018,100001,H_COMP_4_A_P,"Patients who reported that their pain was ""Always"" well controlled","Pain was ""always"" well controlled",75,Between 100 and 299,35,,10/1/12,9/30/13
F100019,100002,H_COMP_4_SN_P,"Patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled","Pain was ""sometimes"" or ""never"" well controlled",5,Between 100 and 299,35,,10/1/12,9/30/13
F10002,100006,H_COMP_4_A_P,"Patients who reported that their pain was ""Always"" well controlled","Pain was ""always"" well controlled",94,Fewer than 100,32,10,10/1/12,9/30/13
F100020,100007,H_COMP_4_U_P,"Patients who reported that their pain was ""Usually"" well controlled","Pain was ""usually"" well controlled",20,Between 100 and 299,35,,10/1/12,9/30/13
F100021,100008,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",73,Between 100 and 299,35,,10/1/12,9/30/13
F100022,100009,H_COMP_5_SN_P,"Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them","Staff ""sometimes"" or ""never"" explained",12,Between 100 and 299,35,,10/1/12,9/30/13
F100023,10001,H_COMP_5_U_P,"Patients who reported that staff ""Usually"" explained about medicines before giving it to them","Staff ""usually"" explained",15,Between 100 and 299,35,,10/1/12,9/30/13
F100024,100012,H_COMP_6_N_P,"Patients who reported that NO, they were not given information about what to do during their recovery at home","No, staff ""did not"" give patients this information",10,Between 100 and 299,35,,10/1/12,9/30/13
F100025,100014,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",90,Between 100 and 299,35,,10/1/12,9/30/13
F100026,100017,H_HSP_RATING_0_6,Patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""6"" or lower (low)",6,Between 100 and 299,35,,10/1/12,9/30/13
F100027,100018,H_HSP_RATING_7_8,Patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""7"" or ""8"" (medium)",13,Between 100 and 299,35,,10/1/12,9/30/13
F100028,100019,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",81,Between 100 and 299,35,,10/1/12,9/30/13
F100029,100022,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",57,Between 100 and 299,35,,10/1/12,9/30/13
F10003,100023,H_COMP_4_SN_P,"Patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled","Pain was ""sometimes"" or ""never"" well controlled",0,Fewer than 100,32,10,10/1/12,9/30/13
F100030,100025,H_QUIET_HSP_SN_P,"Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",5,Between 100 and 299,35,,10/1/12,9/30/13
F100031,100026,H_QUIET_HSP_U_P,"Patients who reported that the area around their room was ""Usually"" quiet at night","""Usually"" quiet at night",38,Between 100 and 299,35,,10/1/12,9/30/13
F100032,100028,H_RECMND_DN,"Patients who reported NO, they would probably not or definitely not recommend the hospital","""NO"", patients would not recommend the hospital (they probably would not or definitely would not recommend it)",4,Between 100 and 299,35,,10/1/12,9/30/13
F100033,100029,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital","""YES"", patients would definitely recommend the hospital",81,Between 100 and 299,35,,10/1/12,9/30/13
F100034,100030,H_RECMND_PY,"Patients who reported YES, they would probably recommend the hospital","""YES"", patients would probably recommend the hospital",15,Between 100 and 299,35,,10/1/12,9/30/13
F100035,100032,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",72,Between 100 and 299,30,,10/1/12,9/30/13
F100036,100034,H_CLEAN_HSP_SN_P,"Patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean","Room was ""sometimes"" or ""never"" clean",12,Between 100 and 299,30,,10/1/12,9/30/13
F100037,100035,H_CLEAN_HSP_U_P,"Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean",16,Between 100 and 299,30,,10/1/12,9/30/13
F100038,100038,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",83,Between 100 and 299,30,,10/1/12,9/30/13
F100039,100039,H_COMP_1_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well",3,Between 100 and 299,30,,10/1/12,9/30/13
F10004,100040,H_COMP_4_U_P,"Patients who reported that their pain was ""Usually"" well controlled","Pain was ""usually"" well controlled",6,Fewer than 100,32,10,10/1/12,9/30/13
F100040,100043,H_COMP_1_U_P,"Patients who reported that their nurses ""Usually"" communicated well","Nurses ""usually"" communicated well",14,Between 100 and 299,30,,10/1/12,9/30/13
F100041,100044,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",85,Between 100 and 299,30,,10/1/12,9/30/13
F100042,100045,H_COMP_2_SN_P,"Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well","Doctors ""sometimes"" or ""never"" communicated well",2,Between 100 and 299,30,,10/1/12,9/30/13
F100043,100046,H_COMP_2_U_P,"Patients who reported that their doctors ""Usually"" communicated well","Doctors ""usually"" communicated well",13,Between 100 and 299,30,,10/1/12,9/30/13
F100044,100047,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""always"" received help as soon as they wanted",69,Between 100 and 299,30,,10/1/12,9/30/13
F100045,100048,H_COMP_3_SN_P,"Patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted","Patients ""sometimes"" or ""never"" received help as soon as they wanted",5,Between 100 and 299,30,,10/1/12,9/30/13
F100046,100049,H_COMP_3_U_P,"Patients who reported that they ""Usually"" received help as soon as they wanted","Patients ""usually"" received help as soon as they wanted",26,Between 100 and 299,30,,10/1/12,9/30/13
F100047,10005,H_COMP_4_A_P,"Patients who reported that their pain was ""Always"" well controlled","Pain was ""always"" well controlled",77,Between 100 and 299,30,,10/1/12,9/30/13
F100048,100050,H_COMP_4_SN_P,"Patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled","Pain was ""sometimes"" or ""never"" well controlled",1,Between 100 and 299,30,,10/1/12,9/30/13
F100049,100051,H_COMP_4_U_P,"Patients who reported that their pain was ""Usually"" well controlled","Pain was ""usually"" well controlled",22,Between 100 and 299,30,,10/1/12,9/30/13
F10005,100052,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",79,Fewer than 100,32,10,10/1/12,9/30/13
F100050,100053,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",75,Between 100 and 299,30,,10/1/12,9/30/13
F100051,100054,H_COMP_5_SN_P,"Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them","Staff ""sometimes"" or ""never"" explained",14,Between 100 and 299,30,,10/1/12,9/30/13
F100052,100055,H_COMP_5_U_P,"Patients who reported that staff ""Usually"" explained about medicines before giving it to them","Staff ""usually"" explained",11,Between 100 and 299,30,,10/1/12,9/30/13
F100053,100057,H_COMP_6_N_P,"Patients who reported that NO, they were not given information about what to do during their recovery at home","No, staff ""did not"" give patients this information",18,Between 100 and 299,30,,10/1/12,9/30/13
F100054,10006,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",82,Between 100 and 299,30,,10/1/12,9/30/13
F100055,100062,H_HSP_RATING_0_6,Patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""6"" or lower (low)",6,Between 100 and 299,30,,10/1/12,9/30/13
F100056,100063,H_HSP_RATING_7_8,Patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""7"" or ""8"" (medium)",24,Between 100 and 299,30,,10/1/12,9/30/13
F100057,100067,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",70,Between 100 and 299,30,,10/1/12,9/30/13
F100058,100068,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",53,Between 100 and 299,30,,10/1/12,9/30/13
F100059,100069,H_QUIET_HSP_SN_P,"Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",14,Between 100 and 299,30,,10/1/12,9/30/13
F10006,10007,H_COMP_5_SN_P,"Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them","Staff ""sometimes"" or ""never"" explained",10,Fewer than 100,32,10,10/1/12,9/30/13
F100060,100070,H_QUIET_HSP_U_P,"Patients who reported that the area around their room was ""Usually"" quiet at night","""Usually"" quiet at night",33,Between 100 and 299,30,,10/1/12,9/30/13
F100061,100071,H_RECMND_DN,"Patients who reported NO, they would probably not or definitely not recommend the hospital","""NO"", patients would not recommend the hospital (they probably would not or definitely would not recommend it)",5,Between 100 and 299,30,,10/1/12,9/30/13
F100062,100072,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital","""YES"", patients would definitely recommend the hospital",64,Between 100 and 299,30,,10/1/12,9/30/13
F100063,100073,H_RECMND_PY,"Patients who reported YES, they would probably recommend the hospital","""YES"", patients would probably recommend the hospital",31,Between 100 and 299,30,,10/1/12,9/30/13
F100064,100075,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",76,300 or more,32,,10/1/12,9/30/13
F100065,100076,H_CLEAN_HSP_SN_P,"Patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean","Room was ""sometimes"" or ""never"" clean",8,300 or more,32,,10/1/12,9/30/13
F100066,100077,H_CLEAN_HSP_U_P,"Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean",16,300 or more,32,,10/1/12,9/30/13
F100067,100079,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",82,300 or more,32,,10/1/12,9/30/13
F100068,10008,H_COMP_1_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well",2,300 or more,32,,10/1/12,9/30/13
F100069,100080,H_COMP_1_U_P,"Patients who reported that their nurses ""Usually"" communicated well","Nurses ""usually"" communicated well",16,300 or more,32,,10/1/12,9/30/13
F10007,100081,H_COMP_5_U_P,"Patients who reported that staff ""Usually"" explained about medicines before giving it to them","Staff ""usually"" explained",11,Fewer than 100,32,10,10/1/12,9/30/13
F100070,100084,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",83,300 or more,32,,10/1/12,9/30/13
F100071,100086,H_COMP_2_SN_P,"Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well","Doctors ""sometimes"" or ""never"" communicated well",4,300 or more,32,,10/1/12,9/30/13
F100072,100087,H_COMP_2_U_P,"Patients who reported that their doctors ""Usually"" communicated well","Doctors ""usually"" communicated well",13,300 or more,32,,10/1/12,9/30/13
F100073,100088,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""always"" received help as soon as they wanted",82,300 or more,32,,10/1/12,9/30/13
F100074,100090,H_COMP_3_SN_P,"Patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted","Patients ""sometimes"" or ""never"" received help as soon as they wanted",4,300 or more,32,,10/1/12,9/30/13
F100075,100092,H_COMP_3_U_P,"Patients who reported that they ""Usually"" received help as soon as they wanted","Patients ""usually"" received help as soon as they wanted",14,300 or more,32,,10/1/12,9/30/13
F100076,100093,H_COMP_4_A_P,"Patients who reported that their pain was ""Always"" well controlled","Pain was ""always"" well controlled",71,300 or more,32,,10/1/12,9/30/13
F100077,100099,H_COMP_4_SN_P,"Patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled","Pain was ""sometimes"" or ""never"" well controlled",5,300 or more,32,,10/1/12,9/30/13
F100078,10009,H_COMP_4_U_P,"Patients who reported that their pain was ""Usually"" well controlled","Pain was ""usually"" well controlled",24,300 or more,32,,10/1/12,9/30/13
F100079,100102,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",70,300 or more,32,,10/1/12,9/30/13
F10008,100105,H_COMP_6_N_P,"Patients who reported that NO, they were not given information about what to do during their recovery at home","No, staff ""did not"" give patients this information",1,Fewer than 100,32,10,10/1/12,9/30/13
F100080,100106,H_COMP_5_SN_P,"Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them","Staff ""sometimes"" or ""never"" explained",15,300 or more,32,,10/1/12,9/30/13
F100081,100107,H_COMP_5_U_P,"Patients who reported that staff ""Usually"" explained about medicines before giving it to them","Staff ""usually"" explained",15,300 or more,32,,10/1/12,9/30/13
F100082,100109,H_COMP_6_N_P,"Patients who reported that NO, they were not given information about what to do during their recovery at home","No, staff ""did not"" give patients this information",16,300 or more,32,,10/1/12,9/30/13
F100083,10011,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",84,300 or more,32,,10/1/12,9/30/13
F100084,100110,H_HSP_RATING_0_6,Patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""6"" or lower (low)",9,300 or more,32,,10/1/12,9/30/13
F100085,100113,H_HSP_RATING_7_8,Patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""7"" or ""8"" (medium)",22,300 or more,32,,10/1/12,9/30/13
F100086,100117,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",69,300 or more,32,,10/1/12,9/30/13
F100087,100118,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",59,300 or more,32,,10/1/12,9/30/13
F100088,10012,H_QUIET_HSP_SN_P,"Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",7,300 or more,32,,10/1/12,9/30/13
F100089,100121,H_QUIET_HSP_U_P,"Patients who reported that the area around their room was ""Usually"" quiet at night","""Usually"" quiet at night",34,300 or more,32,,10/1/12,9/30/13
F10009,100122,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",99,Fewer than 100,32,10,10/1/12,9/30/13
F100090,100124,H_RECMND_DN,"Patients who reported NO, they would probably not or definitely not recommend the hospital","""NO"", patients would not recommend the hospital (they probably would not or definitely would not recommend it)",4,300 or more,32,,10/1/12,9/30/13
F100091,100125,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital","""YES"", patients would definitely recommend the hospital",71,300 or more,32,,10/1/12,9/30/13
F100092,100126,H_RECMND_PY,"Patients who reported YES, they would probably recommend the hospital","""YES"", patients would probably recommend the hospital",25,300 or more,32,,10/1/12,9/30/13
F100093,100127,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",76,Between 100 and 299,36,,10/1/12,9/30/13
F100094,100128,H_CLEAN_HSP_SN_P,"Patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean","Room was ""sometimes"" or ""never"" clean",8,Between 100 and 299,36,,10/1/12,9/30/13
F100095,100130,H_CLEAN_HSP_U_P,"Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean",16,Between 100 and 299,36,,10/1/12,9/30/13
F100096,100131,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",80,Between 100 and 299,36,,10/1/12,9/30/13
F100097,100132,H_COMP_1_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well",4,Between 100 and 299,36,,10/1/12,9/30/13
F100098,100134,H_COMP_1_U_P,"Patients who reported that their nurses ""Usually"" communicated well","Nurses ""usually"" communicated well",16,Between 100 and 299,36,,10/1/12,9/30/13
F100099,100135,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",87,Between 100 and 299,36,,10/1/12,9/30/13
F1001,100137,H_CLEAN_HSP_SN_P,"Patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean","Room was ""sometimes"" or ""never"" clean",10,300 or more,30,,10/1/12,9/30/13
F10010,100140,H_HSP_RATING_0_6,Patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""6"" or lower (low)",11,Fewer than 100,32,10,10/1/12,9/30/13
F100100,100142,H_COMP_2_SN_P,"Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well","Doctors ""sometimes"" or ""never"" communicated well",2,Between 100 and 299,36,,10/1/12,9/30/13
F100101,100150,H_COMP_2_U_P,"Patients who reported that their doctors ""Usually"" communicated well","Doctors ""usually"" communicated well",11,Between 100 and 299,36,,10/1/12,9/30/13
F100102,100151,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""always"" received help as soon as they wanted",80,Between 100 and 299,36,,10/1/12,9/30/13
F100103,100154,H_COMP_3_SN_P,"Patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted","Patients ""sometimes"" or ""never"" received help as soon as they wanted",3,Between 100 and 299,36,,10/1/12,9/30/13
F100104,100156,H_COMP_3_U_P,"Patients who reported that they ""Usually"" received help as soon as they wanted","Patients ""usually"" received help as soon as they wanted",17,Between 100 and 299,36,,10/1/12,9/30/13
F100105,100157,H_COMP_4_A_P,"Patients who reported that their pain was ""Always"" well controlled","Pain was ""always"" well controlled",75,Between 100 and 299,36,,10/1/12,9/30/13
F100106,10016,H_COMP_4_SN_P,"Patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled","Pain was ""sometimes"" or ""never"" well controlled",4,Between 100 and 299,36,,10/1/12,9/30/13
F100107,100161,H_COMP_4_U_P,"Patients who reported that their pain was ""Usually"" well controlled","Pain was ""usually"" well controlled",21,Between 100 and 299,36,,10/1/12,9/30/13
F100108,100166,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",73,Between 100 and 299,36,,10/1/12,9/30/13
F100109,100167,H_COMP_5_SN_P,"Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them","Staff ""sometimes"" or ""never"" explained",14,Between 100 and 299,36,,10/1/12,9/30/13
F10011,100168,H_HSP_RATING_7_8,Patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""7"" or ""8"" (medium)",0,Fewer than 100,32,10,10/1/12,9/30/13
F100110,100173,H_COMP_5_U_P,"Patients who reported that staff ""Usually"" explained about medicines before giving it to them","Staff ""usually"" explained",13,Between 100 and 299,36,,10/1/12,9/30/13
F100111,100175,H_COMP_6_N_P,"Patients who reported that NO, they were not given information about what to do during their recovery at home","No, staff ""did not"" give patients this information",8,Between 100 and 299,36,,10/1/12,9/30/13
F100112,100176,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",92,Between 100 and 299,36,,10/1/12,9/30/13
F100113,100177,H_HSP_RATING_0_6,Patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""6"" or lower (low)",6,Between 100 and 299,36,,10/1/12,9/30/13
F100114,100179,H_HSP_RATING_7_8,Patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""7"" or ""8"" (medium)",18,Between 100 and 299,36,,10/1/12,9/30/13
F100115,10018,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",76,Between 100 and 299,36,,10/1/12,9/30/13
F100116,100180,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",62,Between 100 and 299,36,,10/1/12,9/30/13
F100117,100181,H_QUIET_HSP_SN_P,"Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",4,Between 100 and 299,36,,10/1/12,9/30/13
F100118,100183,H_QUIET_HSP_U_P,"Patients who reported that the area around their room was ""Usually"" quiet at night","""Usually"" quiet at night",34,Between 100 and 299,36,,10/1/12,9/30/13
F100119,100187,H_RECMND_DN,"Patients who reported NO, they would probably not or definitely not recommend the hospital","""NO"", patients would not recommend the hospital (they probably would not or definitely would not recommend it)",5,Between 100 and 299,36,,10/1/12,9/30/13
F10012,100189,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",89,Fewer than 100,32,10,10/1/12,9/30/13
F100120,10019,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital","""YES"", patients would definitely recommend the hospital",70,Between 100 and 299,36,,10/1/12,9/30/13
F100121,100191,H_RECMND_PY,"Patients who reported YES, they would probably recommend the hospital","""YES"", patients would probably recommend the hospital",25,Between 100 and 299,36,,10/1/12,9/30/13
F100122,100200,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",80,Between 100 and 299,44,,10/1/12,9/30/13
F100123,100204,H_CLEAN_HSP_SN_P,"Patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean","Room was ""sometimes"" or ""never"" clean",6,Between 100 and 299,44,,10/1/12,9/30/13
F100124,100206,H_CLEAN_HSP_U_P,"Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean",14,Between 100 and 299,44,,10/1/12,9/30/13
F100125,100209,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",80,Between 100 and 299,44,,10/1/12,9/30/13
F100126,10021,H_COMP_1_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well",3,Between 100 and 299,44,,10/1/12,9/30/13
F100127,100211,H_COMP_1_U_P,"Patients who reported that their nurses ""Usually"" communicated well","Nurses ""usually"" communicated well",17,Between 100 and 299,44,,10/1/12,9/30/13
F100128,100212,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",81,Between 100 and 299,44,,10/1/12,9/30/13
F100129,100213,H_COMP_2_SN_P,"Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well","Doctors ""sometimes"" or ""never"" communicated well",4,Between 100 and 299,44,,10/1/12,9/30/13
F10013,100217,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",100,Fewer than 100,32,10,10/1/12,9/30/13
F100130,10022,H_COMP_2_U_P,"Patients who reported that their doctors ""Usually"" communicated well","Doctors ""usually"" communicated well",15,Between 100 and 299,44,,10/1/12,9/30/13
F100131,100220,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""always"" received help as soon as they wanted",74,Between 100 and 299,44,,10/1/12,9/30/13
