ipps_2012_id,provider_id,drg_definition,provider_id,hospital_referral_region,total_discharges,average_covered_charges,average_total_payments,average_medicare_payments
Q100074,53305,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100289,FL - Miami,74,17689.95,4416.23,3263.34
Q100075,53305,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100290,FL - Orlando,306,18877,3848.09,2884.4
Q100076,53305,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100291,FL - Orlando,52,32433.15,4069.4,3251.48
Q100077,53305,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100292,FL - Pensacola,31,27326.23,5774.35,2861.84
Q100078,53305,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100296,FL - Miami,71,38104.18,5578.69,3905.49
Q100079,10001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100299,FL - Bradenton,41,27254.37,3863.05,2967.24
Q10008,53305,069 - TRANSIENT ISCHEMIA,340131,NC - Greenville,61,12049.9,5176.93,3855.49
Q100080,53305,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100302,FL - Orlando,65,30007.65,4023.03,3056.97
Q100081,53305,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100307,FL - Jacksonville,130,22575.25,4008.54,2953.64
Q100082,53305,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100314,FL - Miami,46,34459.09,4573.43,3496.35
Q100083,53309,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100315,FL - Orlando,46,24733.33,4023.91,3100.33
Q100084,53309,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100316,FL - Orlando,73,26287.86,3865.6,2960.78
Q100085,53309,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110001,GA - Atlanta,33,19373.88,4862.39,2864.64
Q100086,53309,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110002,GA - Macon,31,14781.58,4777.55,3488.16
Q100087,53309,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110003,FL - Jacksonville,100,14496.24,4341.4,3256.3
Q100088,53309,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110004,TN - Chattanooga,19,11222.79,4526.37,3534.89
Q100089,10001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110005,GA - Atlanta,58,31972.59,4508.79,3089.79
Q10009,53309,069 - TRANSIENT ISCHEMIA,340133,NC - Greenville,25,17868.84,4816.2,3849
Q100090,53309,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110006,GA - Atlanta,35,16432.86,4412.11,3414.69
Q100091,53309,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110007,GA - Albany,119,16048.67,4876.68,4056.41
Q100092,53309,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110008,GA - Atlanta,27,26216.52,4666.11,3054
Q100093,53309,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110010,GA - Atlanta,108,19020.85,5962.82,4702.98
Q100094,53309,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110011,GA - Atlanta,22,15127.09,5644.23,2895.77
Q100095,53309,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110016,GA - Atlanta,38,15924.5,4957.39,3392.66
Q100096,53309,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110018,GA - Atlanta,47,11864.13,4495.87,3247.04
Q100097,53309,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110023,GA - Rome,36,24365.31,5622.44,2921.92
Q100098,60001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110024,GA - Savannah,101,20519.81,6094.35,3443.05
Q100099,10001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110025,FL - Jacksonville,90,14743.46,5637.24,4310.77
Q1001,60001,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10005,AL - Birmingham,34,15301.03,6001.94,5021.03
Q10010,60001,069 - TRANSIENT ISCHEMIA,340141,NC - Wilmington,124,14131.77,5188.21,3991.85
Q100100,60001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110026,GA - Atlanta,17,13438.65,4305.76,3124.47
Q100101,60001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110028,GA - Augusta,143,18393.2,4833.39,3282.83
Q100102,60001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110029,GA - Atlanta,104,20854.66,4675.18,3332.53
Q100103,60001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110030,GA - Atlanta,48,37621.56,4980.44,3462.27
Q100104,60001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110031,GA - Atlanta,86,27562.91,4688.8,3647.99
Q100105,60001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110032,GA - Atlanta,26,13921.88,4175.5,3188.88
Q100106,60001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110034,GA - Augusta,50,15393.44,7143.6,5418.84
Q100107,60001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110035,GA - Atlanta,228,25029.04,4687.56,3368.42
Q100108,10001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110036,GA - Savannah,131,20415.44,5171.47,4205.21
Q100109,60001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110038,FL - Tallahassee,66,16847,4697.42,3319.67
Q10011,60001,069 - TRANSIENT ISCHEMIA,340142,NC - Greenville,28,9345.18,5081.64,3835.36
Q100110,60001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110039,GA - Augusta,26,19243.31,4221.31,3291.31
Q100111,60001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110040,GA - Atlanta,15,10067.93,4878.33,3666.33
Q100112,60003,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110041,GA - Atlanta,11,10684.27,4369.82,3531.27
Q100113,60003,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110042,GA - Atlanta,13,17725.92,4292.92,3269.38
Q100114,60003,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110043,GA - Savannah,80,19656.86,4019.53,2950.83
Q100115,60003,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110044,GA - Albany,12,15538.58,4518.83,3557.5
Q100116,60003,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110045,GA - Atlanta,27,19930.52,4709.56,3748.81
Q100117,60003,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110046,GA - Atlanta,20,18546.3,4387,3465.8
Q100118,10001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110051,GA - Atlanta,16,11702.63,5135.81,3149.94
Q100119,60003,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110054,GA - Rome,60,22909.6,5006.7,3846.02
Q10012,60003,069 - TRANSIENT ISCHEMIA,340143,NC - Hickory,15,21037.73,4839.53,3301.6
Q100120,60003,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110064,GA - Columbus,28,16582.96,5562.18,4744.18
Q100121,60003,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110069,GA - Macon,128,16880.56,4355.58,3257.2
Q100122,60003,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110071,GA - Savannah,14,10446,4461.43,3475.71
Q100123,60003,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110073,GA - Macon,15,10046.27,4091.8,2724.2
Q100124,60003,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110074,GA - Atlanta,133,19834.33,4667.65,3428.24
Q100125,60003,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110075,GA - Savannah,102,20367.77,4890.59,3580.96
Q100126,60003,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110076,GA - Atlanta,112,14653.53,5042.27,3980.48
Q100127,60004,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110078,GA - Atlanta,58,21517.57,5578.34,4079.84
Q100128,10001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110079,GA - Atlanta,62,20279.66,6647.44,5961.05
Q100129,60004,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110082,GA - Atlanta,86,19484.13,3972.59,3052.08
Q10013,60004,069 - TRANSIENT ISCHEMIA,340145,NC - Charlotte,11,29479.45,4526.55,3482.18
Q100130,60004,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110083,GA - Atlanta,97,24946.48,4557.98,3284.56
Q100131,60004,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110087,GA - Atlanta,121,19559.73,4963.6,3896.26
Q100132,60004,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110089,FL - Jacksonville,72,12678.61,3889.35,2948.15
Q100133,60004,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110091,GA - Atlanta,65,18615.14,4792.02,3877.35
Q100134,60004,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110092,GA - Macon,16,10644.31,4490.88,3699.38
Q100135,60004,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110095,FL - Tallahassee,97,19635.91,4542.19,3376.33
Q100136,60004,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110104,GA - Macon,37,14419.7,4231.49,3229.57
Q100137,60004,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110105,FL - Tallahassee,43,12628.26,4765.88,3603.86
Q100138,10001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110107,GA - Macon,144,18538.79,5177.6,3967.77
Q100139,60004,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110109,GA - Augusta,16,13255.69,4308.75,3296.44
Q10014,60004,069 - TRANSIENT ISCHEMIA,340147,NC - Raleigh,54,14019.28,5130.76,4278.46
Q100140,60004,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110112,FL - Tallahassee,14,12512.36,3748.29,3006.86
Q100141,60004,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110115,GA - Atlanta,28,41637.75,6368.86,5079.43
Q100142,60006,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110121,FL - Tallahassee,18,12582.61,5015.17,3199.44
Q100143,60006,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110122,FL - Tallahassee,112,14825.82,4739.12,3186.88
Q100144,60006,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110124,GA - Savannah,34,13209.74,4879.59,3724.71
Q100145,60006,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110125,GA - Macon,75,25483.21,5124.89,3616.95
Q100146,60006,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110128,GA - Savannah,31,18741.58,3882.97,3029.94
Q100147,60006,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110129,GA - Columbus,102,12750.21,4156.99,3028.05
Q100148,10005,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110132,FL - Tallahassee,28,11254.5,4419.14,3268.32
Q100149,60006,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110135,GA - Macon,16,9175.88,4331.25,3188
Q10015,60006,069 - TRANSIENT ISCHEMIA,340151,NC - Raleigh,26,11942.77,4705.96,3421.73
Q100150,60006,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110142,GA - Savannah,15,14339.87,4873.07,2878.27
Q100151,60006,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110143,GA - Atlanta,103,21954.6,5274.26,3436.2
Q100152,60006,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110150,GA - Macon,30,15555.27,4367.87,3336.63
Q100153,60006,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110153,GA - Macon,28,13123.04,4463.5,3599.93
Q100154,60006,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110161,GA - Atlanta,25,32412.36,4764.52,3299.24
Q100155,60006,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110163,GA - Albany,31,21344.26,4109.1,3149.61
Q100156,60006,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110164,GA - Macon,92,22405.01,4695.54,3370.88
Q100157,60008,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110165,GA - Atlanta,37,21728.92,4900.84,3656.08
Q100158,10005,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110168,GA - Rome,71,21506.85,4409.35,2597.13
Q100159,60008,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",110177,GA - Augusta,61,35881.61,4871,3555.87
Q10016,60008,069 - TRANSIENT ISCHEMIA,340155,NC - Durham,26,16464.04,4782.12,3811.35
