medicare_hospital_spending_per_patient_id,provider_id,measure_name,measure_id,score,footnote,measure_start_date,measure_end_date
G1021,100001,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1022,100002,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/13,12/31/13
G1023,100006,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.04,,1/1/13,12/31/13
G1024,100007,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.81,,1/1/13,12/31/13
G1025,100008,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.87,,1/1/13,12/31/13
G1026,100009,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/13,12/31/13
G1027,10001,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.87,,1/1/13,12/31/13
G1028,100012,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/13,12/31/13
G1029,100014,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1030,100017,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,1/1/13,12/31/13
G1031,100018,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.94,,1/1/13,12/31/13
G1032,100019,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,1/1/13,12/31/13
G1033,100022,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,,1/1/13,12/31/13
G1034,100023,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.06,,1/1/13,12/31/13
G1035,100025,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.91,,1/1/13,12/31/13
G1036,100026,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.86,,1/1/13,12/31/13
G1037,100028,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/13,12/31/13
G1038,100029,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,1/1/13,12/31/13
G1039,100030,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1040,100032,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.04,,1/1/13,12/31/13
G1041,100034,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,1/1/13,12/31/13
G1042,100035,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1043,100038,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1044,100039,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1045,100040,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1046,100043,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1047,100044,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1048,100045,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1049,100046,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1050,100047,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.92,,1/1/13,12/31/13
G1051,100048,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1052,100049,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1053,10005,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.14,,1/1/13,12/31/13
G1054,100050,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1055,100051,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1056,100052,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1057,100053,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.05,,1/1/13,12/31/13
G1058,100054,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1059,100055,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,,1/1/13,12/31/13
G1060,100057,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1061,10006,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1062,100062,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1063,100063,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.05,,1/1/13,12/31/13
G1064,100067,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1065,100068,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1066,100069,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1067,10007,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,,1/1/13,12/31/13
G1068,100070,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/13,12/31/13
G1069,100071,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.92,,1/1/13,12/31/13
G1070,100072,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/13,12/31/13
G1071,100073,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.85,,1/1/13,12/31/13
G1072,100075,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.91,,1/1/13,12/31/13
G1073,100076,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1074,100077,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1075,100079,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/13,12/31/13
G1076,10008,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1077,100080,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.07,,1/1/13,12/31/13
G1078,100081,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.88,,1/1/13,12/31/13
G1079,100084,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1080,100086,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1081,100087,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.06,,1/1/13,12/31/13
G1082,100088,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/13,12/31/13
G1083,100090,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1084,100092,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.94,,1/1/13,12/31/13
G1085,100093,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,1/1/13,12/31/13
G1086,100099,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.89,,1/1/13,12/31/13
G1087,10009,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.8,,1/1/13,12/31/13
G1088,100102,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.94,,1/1/13,12/31/13
G1089,100105,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.77,,1/1/13,12/31/13
G1090,100106,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.89,,1/1/13,12/31/13
G1091,100107,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.6,,1/1/13,12/31/13
G1092,100109,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.83,,1/1/13,12/31/13
G1093,10011,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.83,,1/1/13,12/31/13
G1094,100110,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.78,,1/1/13,12/31/13
G1095,100113,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1096,100117,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1097,100118,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1098,10012,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1099,100121,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1100,100122,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/13,12/31/13
G1101,100124,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1102,100125,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1103,100126,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1104,100127,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.92,,1/1/13,12/31/13
G1105,100128,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1106,100130,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,1/1/13,12/31/13
G1107,100131,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1108,100132,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1109,100134,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1110,100135,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1111,100137,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1112,100140,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1113,100142,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1114,100150,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,1/1/13,12/31/13
G1115,100151,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1116,100154,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.89,,1/1/13,12/31/13
G1117,100156,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1118,100157,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1119,10016,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.83,,1/1/13,12/31/13
G1120,100161,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.86,,1/1/13,12/31/13
G1121,100166,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.7,,1/1/13,12/31/13
G1122,100167,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.76,,1/1/13,12/31/13
G1123,100168,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,NULL,1 - The number of cases/patients is too few to report.,1/1/13,12/31/13
G1124,100173,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,NULL,1 - The number of cases/patients is too few to report.,1/1/13,12/31/13
G1125,100175,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.8,,1/1/13,12/31/13
G1126,100176,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/13,12/31/13
G1127,100177,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.63,,1/1/13,12/31/13
G1128,100179,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1129,10018,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,,1/1/13,12/31/13
G1130,100180,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1131,100181,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1132,100183,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1133,100187,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1134,100189,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1135,10019,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/13,12/31/13
G1136,100191,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/13,12/31/13
G1137,100200,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1138,100204,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1139,100206,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,1/1/13,12/31/13
G1140,100209,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1141,10021,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1142,100211,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.05,,1/1/13,12/31/13
G1143,100212,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.75,,1/1/13,12/31/13
G1144,100213,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.92,,1/1/13,12/31/13
G1145,100217,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.94,,1/1/13,12/31/13
G1146,10022,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/13,12/31/13
G1147,100220,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.94,,1/1/13,12/31/13
G1148,100223,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1149,100224,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.81,,1/1/13,12/31/13
G1150,100226,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.04,,1/1/13,12/31/13
G1151,100228,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1152,10023,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1153,100230,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.92,,1/1/13,12/31/13
G1154,100231,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1155,100232,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/13,12/31/13
G1156,100234,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.83,,1/1/13,12/31/13
G1157,100236,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1158,100238,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,1/1/13,12/31/13
G1159,100239,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,,1/1/13,12/31/13
G1160,10024,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1161,100240,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1162,100242,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.77,,1/1/13,12/31/13
G1163,100243,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1164,100244,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.05,,1/1/13,12/31/13
G1165,100246,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1166,100248,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.89,,1/1/13,12/31/13
G1167,100249,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.12,,1/1/13,12/31/13
G1168,10025,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.94,,1/1/13,12/31/13
G1169,100252,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1170,100253,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1171,100254,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1172,100255,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.94,,1/1/13,12/31/13
G1173,100256,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/13,12/31/13
G1174,100258,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,1/1/13,12/31/13
G1175,100259,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,,1/1/13,12/31/13
G1176,100260,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1177,100264,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,1/1/13,12/31/13
G1178,100265,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/13,12/31/13
G1179,100266,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.94,,1/1/13,12/31/13
G1180,100267,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.06,,1/1/13,12/31/13
G1181,100268,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.07,,1/1/13,12/31/13
G1182,100269,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.04,,1/1/13,12/31/13
G1183,100271,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.05,,1/1/13,12/31/13
G1184,100275,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1185,100276,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/13,12/31/13
G1186,100277,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.89,,1/1/13,12/31/13
G1187,100281,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.22,,1/1/13,12/31/13
G1188,100284,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.91,,1/1/13,12/31/13
G1189,100285,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,,1/1/13,12/31/13
G1190,100286,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1191,100287,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/13,12/31/13
G1192,100288,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.83,,1/1/13,12/31/13
G1193,100289,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.07,,1/1/13,12/31/13
G1194,10029,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1195,100290,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1196,100291,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1197,100292,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,1/1/13,12/31/13
G1198,100296,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.17,,1/1/13,12/31/13
G1199,100299,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,1/1/13,12/31/13
G1200,100302,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1201,100307,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.91,,1/1/13,12/31/13
G1202,100313,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.09,,1/1/13,12/31/13
G1203,100314,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/13,12/31/13
G1204,100315,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,1/1/13,12/31/13
G1205,100316,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1206,100319,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/13,12/31/13
G1207,10032,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,1/1/13,12/31/13
G1208,10033,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,1/1/13,12/31/13
G1209,10034,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/13,12/31/13
G1210,10035,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/13,12/31/13
G1211,10036,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.05,,1/1/13,12/31/13
G1212,10038,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.16,,1/1/13,12/31/13
G1213,10039,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1214,10040,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1215,10044,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,1/1/13,12/31/13
G1216,10045,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.85,,1/1/13,12/31/13
G1217,10046,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.04,,1/1/13,12/31/13
G1218,10047,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1219,10049,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1220,10051,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.82,,1/1/13,12/31/13
G1221,10052,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.87,,1/1/13,12/31/13
G1222,10054,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,1/1/13,12/31/13
G1223,10055,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.92,,1/1/13,12/31/13
G1224,10056,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.85,,1/1/13,12/31/13
G1225,10057,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,1/1/13,12/31/13
G1226,10058,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1227,10059,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,1/1/13,12/31/13
G1228,10061,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.05,,1/1/13,12/31/13
G1229,10062,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1230,10063,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.05,,1/1/13,12/31/13
G1231,10064,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1232,10065,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.1,,1/1/13,12/31/13
G1233,10065,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.92,,1/1/13,12/31/13
G1234,10066,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,1/1/13,12/31/13
