timely_and_effective_care_id,provider_id,condition,measure_id,measure_name,score,sample,footnote,measure_start_date,measure_end_date
N100043,100046,Surgical Care Improvement Project,SCIP_VTE_2,Surgery Patients Who Received Appropriate Venous Thromboembolism Prophylaxis Within 24 Hours Prior to Surgery to 24 Hours After Surgery,96,133,2 - Data submitted were based on a sample of cases/patients.,10/1/12,9/30/13
N100044,100047,Stroke Care,STK_1,Venous Thromboembolism (VTE) Prophylaxis,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100045,100048,Stroke Care,STK_10,Assessed for Rehabilitation,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100046,100049,Stroke Care,STK_2,Discharged on Antithrombotic Therapy,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100047,10005,Stroke Care,STK_3,Anticoagulation Therapy for Atrial Fibrillation/Flutter,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100048,100050,Stroke Care,STK_4,Thrombolytic Therapy,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100049,100051,Stroke Care,STK_5,Antithrombotic Therapy by End of Hospital Day 2 ,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N10005,100052,Heart Attack or Chest Pain,AMI_7a,Heart attack patients given drugs to break up blood clots within 30 minutes of arrival,NULL,0,"3 - Results are based on a shorter time period than required., 7 - No cases met the criteria for this measure.",10/1/12,9/30/13
N100050,100053,Stroke Care,STK_6,Discharged on Statin Medication,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100051,100054,Stroke Care,STK_8,Stroke Education,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100052,100055,Blood Clot Prevention and Treatment,VTE_1,Venous thromboembolism prophylaxis,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100053,100057,Blood Clot Prevention and Treatment,VTE_2,ICU venous thromboembolism prophylaxis,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100054,10006,Blood Clot Prevention and Treatment,VTE_3,Anticoagulation overlap therapy,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100055,100062,Blood Clot Prevention and Treatment,VTE_4,Unfractionated heparin with dosages/platelet count monitoring,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100056,100063,Blood Clot Prevention and Treatment,VTE_5,Warfarin therapy discharge instructions,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100057,100067,Blood Clot Prevention and Treatment,VTE_6,Incidence of potentially preventable VTE,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100058,100068,Heart Attack or Chest Pain,AMI_10,Statin at Discharge,NULL,0,"3 - Results are based on a shorter time period than required., 7 - No cases met the criteria for this measure.",10/1/12,9/30/13
N100059,100069,Heart Attack or Chest Pain,AMI_2,Aspirin prescribed at discharge,NULL,NULL,"1 - The number of cases/patients is too few to report., 3 - Results are based on a shorter time period than required.",10/1/12,9/30/13
N10006,10007,Heart Attack or Chest Pain,AMI_8a,Primary PCI Received Within 90 Minutes of Hospital Arrival,NULL,0,"3 - Results are based on a shorter time period than required., 7 - No cases met the criteria for this measure.",10/1/12,9/30/13
N100060,100070,Heart Attack or Chest Pain,AMI_7a,Heart attack patients given drugs to break up blood clots within 30 minutes of arrival,NULL,0,"3 - Results are based on a shorter time period than required., 7 - No cases met the criteria for this measure.",10/1/12,9/30/13
N100061,100071,Heart Attack or Chest Pain,AMI_8a,Primary PCI Received Within 90 Minutes of Hospital Arrival,NULL,0,"3 - Results are based on a shorter time period than required., 7 - No cases met the criteria for this measure.",10/1/12,9/30/13
N100062,100072,Emergency Department,ED_1b,ED1,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100063,100073,Emergency Department,ED_2b,ED2,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100064,100075,Heart Failure,HF_1,Discharge instructions,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100065,100076,Heart Failure,HF_2,Evaluation of LVS Function,100,13,,10/1/12,9/30/13
N100066,100077,Heart Failure,HF_3,ACEI or ARB for LVSD,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100067,100079,Preventive Care,IMM_1a,Immunization for pneumonia,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100068,10008,Preventive Care,IMM_2,Immunization for influenza,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,3/31/13
N100069,100080,Heart Attack or Chest Pain,OP_1,Median Time to Fibrinolysis,NULL,0,"3 - Results are based on a shorter time period than required., 7 - No cases met the criteria for this measure.",10/1/12,9/30/13
N10007,100081,Emergency Department,ED_1b,ED1,145,319,2 - Data submitted were based on a sample of cases/patients.,10/1/12,9/30/13
N100070,100084,Emergency Department,OP_18b,OP 18,124,328,,10/1/12,9/30/13
N100071,100086,Heart Attack or Chest Pain,OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,NULL,0,"3 - Results are based on a shorter time period than required., 7 - No cases met the criteria for this measure.",10/1/12,9/30/13
N100072,100087,Emergency Department,OP_20,Door to diagnostic eval,27,377,,10/1/12,9/30/13
N100073,100088,Emergency Department,OP_21,Median time to pain med,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100074,100090,Emergency Department,OP_22,Left before being seen,NULL,NULL,5 - Results are not available for this reporting period.,1/1/12,12/31/12
N100075,100092,Emergency Department,OP_23,Head CT results,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100076,100093,Heart Attack or Chest Pain,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,NULL,0,"3 - Results are based on a shorter time period than required., 7 - No cases met the criteria for this measure.",10/1/12,9/30/13
N100077,100099,Heart Attack or Chest Pain,OP_4,Aspirin at Arrival,NULL,NULL,"1 - The number of cases/patients is too few to report., 3 - Results are based on a shorter time period than required.",10/1/12,9/30/13
N100078,10009,Heart Attack or Chest Pain,OP_5,Median Time to ECG,NULL,NULL,"1 - The number of cases/patients is too few to report., 3 - Results are based on a shorter time period than required.",10/1/12,9/30/13
N100079,100102,Surgical Care Improvement Project,OP_6,Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision,NULL,NULL,"1 - The number of cases/patients is too few to report., 3 - Results are based on a shorter time period than required.",10/1/12,9/30/13
N10008,100105,Emergency Department,ED_2b,ED2,55,293,2 - Data submitted were based on a sample of cases/patients.,10/1/12,9/30/13
N100080,100106,Surgical Care Improvement Project,OP_7,Prophylactic Antibiotic Selection for Surgical Patients,NULL,NULL,"1 - The number of cases/patients is too few to report., 3 - Results are based on a shorter time period than required.",10/1/12,9/30/13
N100081,100107,Pregnancy and Delivery Care,PC_01,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100082,100109,Pneumonia,PN_3b,Blood Cultures Performed in the Emergency Department Prior to Initial Antibiotic Received in Hospital,100,28,,10/1/12,9/30/13
N100083,10011,Pneumonia,PN_6,Initial antibiotic selection for CAP in immunocompetent patient,100,19,,10/1/12,9/30/13
N100084,100110,Surgical Care Improvement Project,SCIP_CARD_2,Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100085,100113,Surgical Care Improvement Project,SCIP_INF_1,Prophylactic antibiotic received within 1 hour prior to surgical incision,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100086,100117,Surgical Care Improvement Project,SCIP_INF_10,Surgery Patients with Perioperative Temperature Management,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100087,100118,Surgical Care Improvement Project,SCIP_INF_2,Prophylactic Antibiotic Selection for Surgical Patients,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100088,10012,Surgical Care Improvement Project,SCIP_INF_3,Prophylactic antibiotics discontinued within 24 hours after surgery end time,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100089,100121,Surgical Care Improvement Project,SCIP_INF_4,Cardiac Surgery Patients With Controlled 6 A.M. Postoperative Blood Glucose,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N10009,100122,Heart Failure,HF_1,Discharge instructions,100,37,2 - Data submitted were based on a sample of cases/patients.,10/1/12,9/30/13
N100090,100124,Surgical Care Improvement Project,SCIP_INF_9,Postoperative Urinary Catheter Removal,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100091,100125,Surgical Care Improvement Project,SCIP_VTE_2,Surgery Patients Who Received Appropriate Venous Thromboembolism Prophylaxis Within 24 Hours Prior to Surgery to 24 Hours After Surgery,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100092,100126,Stroke Care,STK_1,Venous Thromboembolism (VTE) Prophylaxis,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100093,100127,Stroke Care,STK_10,Assessed for Rehabilitation,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100094,100128,Stroke Care,STK_2,Discharged on Antithrombotic Therapy,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100095,100130,Stroke Care,STK_3,Anticoagulation Therapy for Atrial Fibrillation/Flutter,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100096,100131,Stroke Care,STK_4,Thrombolytic Therapy,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100097,100132,Stroke Care,STK_5,Antithrombotic Therapy by End of Hospital Day 2 ,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100098,100134,Stroke Care,STK_6,Discharged on Statin Medication,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100099,100135,Stroke Care,STK_8,Stroke Education,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N1001,100137,Heart Attack or Chest Pain,AMI_2,Aspirin prescribed at discharge,100,601,,10/1/12,9/30/13
N10010,100140,Heart Failure,HF_2,Evaluation of LVS Function,93,57,2 - Data submitted were based on a sample of cases/patients.,10/1/12,9/30/13
N100100,100142,Blood Clot Prevention and Treatment,VTE_1,Venous thromboembolism prophylaxis,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100101,100150,Blood Clot Prevention and Treatment,VTE_2,ICU venous thromboembolism prophylaxis,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100102,100151,Blood Clot Prevention and Treatment,VTE_3,Anticoagulation overlap therapy,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100103,100154,Blood Clot Prevention and Treatment,VTE_4,Unfractionated heparin with dosages/platelet count monitoring,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100104,100156,Blood Clot Prevention and Treatment,VTE_5,Warfarin therapy discharge instructions,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100105,100157,Blood Clot Prevention and Treatment,VTE_6,Incidence of potentially preventable VTE,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100106,10016,Heart Attack or Chest Pain,AMI_10,Statin at Discharge,NULL,NULL,"1 - The number of cases/patients is too few to report., 3 - Results are based on a shorter time period than required.",10/1/12,9/30/13
N100107,100161,Heart Attack or Chest Pain,AMI_2,Aspirin prescribed at discharge,NULL,NULL,"1 - The number of cases/patients is too few to report., 3 - Results are based on a shorter time period than required.",10/1/12,9/30/13
N100108,100166,Heart Attack or Chest Pain,AMI_7a,Heart attack patients given drugs to break up blood clots within 30 minutes of arrival,NULL,0,"3 - Results are based on a shorter time period than required., 7 - No cases met the criteria for this measure.",10/1/12,9/30/13
N100109,100167,Heart Attack or Chest Pain,AMI_8a,Primary PCI Received Within 90 Minutes of Hospital Arrival,NULL,0,"3 - Results are based on a shorter time period than required., 7 - No cases met the criteria for this measure.",10/1/12,9/30/13
N10011,100168,Heart Failure,HF_3,ACEI or ARB for LVSD,NULL,NULL,"1 - The number of cases/patients is too few to report., 2 - Data submitted were based on a sample of cases/patients.",10/1/12,9/30/13
N100110,100173,Emergency Department,ED_1b,ED1,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100111,100175,Emergency Department,ED_2b,ED2,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100112,100176,Heart Failure,HF_1,Discharge instructions,82,11,,10/1/12,9/30/13
N100113,100177,Heart Failure,HF_2,Evaluation of LVS Function,100,16,,10/1/12,9/30/13
N100114,100179,Heart Failure,HF_3,ACEI or ARB for LVSD,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100115,10018,Preventive Care,IMM_1a,Immunization for pneumonia,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100116,100180,Preventive Care,IMM_2,Immunization for influenza,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,3/31/13
N100117,100181,Heart Attack or Chest Pain,OP_1,Median Time to Fibrinolysis,NULL,0,7 - No cases met the criteria for this measure.,10/1/12,9/30/13
N100118,100183,Emergency Department,OP_18b,OP 18,93,396,,10/1/12,9/30/13
N100119,100187,Heart Attack or Chest Pain,OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,NULL,0,7 - No cases met the criteria for this measure.,10/1/12,9/30/13
N10012,100189,Preventive Care,IMM_1a,Immunization for pneumonia,89,331,2 - Data submitted were based on a sample of cases/patients.,10/1/12,9/30/13
N100120,10019,Emergency Department,OP_20,Door to diagnostic eval,11,328,,10/1/12,9/30/13
N100121,100191,Emergency Department,OP_21,Median time to pain med,51,41,3 - Results are based on a shorter time period than required.,10/1/12,9/30/13
N100122,100200,Emergency Department,OP_22,Left before being seen,NULL,NULL,5 - Results are not available for this reporting period.,1/1/12,12/31/12
N100123,100204,Emergency Department,OP_23,Head CT results,NULL,NULL,"1 - The number of cases/patients is too few to report., 3 - Results are based on a shorter time period than required.",10/1/12,9/30/13
N100124,100206,Heart Attack or Chest Pain,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,42,14,,10/1/12,9/30/13
N100125,100209,Heart Attack or Chest Pain,OP_4,Aspirin at Arrival,94,106,,10/1/12,9/30/13
N100126,10021,Heart Attack or Chest Pain,OP_5,Median Time to ECG,5,110,,10/1/12,9/30/13
N100127,100211,Surgical Care Improvement Project,OP_6,Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision,NULL,NULL,"1 - The number of cases/patients is too few to report., 3 - Results are based on a shorter time period than required.",10/1/12,9/30/13
N100128,100212,Surgical Care Improvement Project,OP_7,Prophylactic Antibiotic Selection for Surgical Patients,NULL,NULL,"1 - The number of cases/patients is too few to report., 3 - Results are based on a shorter time period than required.",10/1/12,9/30/13
N100129,100213,Pregnancy and Delivery Care,PC_01,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N10013,100217,Preventive Care,IMM_2,Immunization for influenza,84,293,2 - Data submitted were based on a sample of cases/patients.,10/1/12,3/31/13
N100130,10022,Pneumonia,PN_3b,Blood Cultures Performed in the Emergency Department Prior to Initial Antibiotic Received in Hospital,97,90,,10/1/12,9/30/13
N100131,100220,Pneumonia,PN_6,Initial antibiotic selection for CAP in immunocompetent patient,98,53,,10/1/12,9/30/13
N100132,100223,Surgical Care Improvement Project,SCIP_CARD_2,Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100133,100224,Surgical Care Improvement Project,SCIP_INF_1,Prophylactic antibiotic received within 1 hour prior to surgical incision,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100134,100226,Surgical Care Improvement Project,SCIP_INF_10,Surgery Patients with Perioperative Temperature Management,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100135,100228,Surgical Care Improvement Project,SCIP_INF_2,Prophylactic Antibiotic Selection for Surgical Patients,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100136,10023,Surgical Care Improvement Project,SCIP_INF_3,Prophylactic antibiotics discontinued within 24 hours after surgery end time,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100137,100230,Surgical Care Improvement Project,SCIP_INF_4,Cardiac Surgery Patients With Controlled 6 A.M. Postoperative Blood Glucose,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100138,100231,Surgical Care Improvement Project,SCIP_INF_9,Postoperative Urinary Catheter Removal,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100139,100232,Surgical Care Improvement Project,SCIP_VTE_2,Surgery Patients Who Received Appropriate Venous Thromboembolism Prophylaxis Within 24 Hours Prior to Surgery to 24 Hours After Surgery,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N10014,100234,Heart Attack or Chest Pain,OP_1,Median Time to Fibrinolysis,NULL,NULL,"1 - The number of cases/patients is too few to report., 3 - Results are based on a shorter time period than required.",10/1/12,9/30/13
N100140,100236,Stroke Care,STK_1,Venous Thromboembolism (VTE) Prophylaxis,100,11,,1/1/13,9/30/13
N100141,100238,Stroke Care,STK_10,Assessed for Rehabilitation,NULL,NULL,1 - The number of cases/patients is too few to report.,1/1/13,9/30/13
N100142,100239,Stroke Care,STK_2,Discharged on Antithrombotic Therapy,NULL,NULL,1 - The number of cases/patients is too few to report.,1/1/13,9/30/13
N100143,10024,Stroke Care,STK_3,Anticoagulation Therapy for Atrial Fibrillation/Flutter,NULL,NULL,1 - The number of cases/patients is too few to report.,1/1/13,9/30/13
N100144,100240,Stroke Care,STK_4,Thrombolytic Therapy,NULL,0,7 - No cases met the criteria for this measure.,1/1/13,9/30/13
N100145,100242,Stroke Care,STK_5,Antithrombotic Therapy by End of Hospital Day 2 ,100,12,,1/1/13,9/30/13
N100146,100243,Stroke Care,STK_6,Discharged on Statin Medication,NULL,NULL,1 - The number of cases/patients is too few to report.,1/1/13,9/30/13
N100147,100244,Stroke Care,STK_8,Stroke Education,NULL,NULL,1 - The number of cases/patients is too few to report.,1/1/13,9/30/13
N100148,100246,Blood Clot Prevention and Treatment,VTE_1,Venous thromboembolism prophylaxis,88,90,2 - Data submitted were based on a sample of cases/patients.,1/1/13,9/30/13
N100149,100248,Blood Clot Prevention and Treatment,VTE_2,ICU venous thromboembolism prophylaxis,100,26,2 - Data submitted were based on a sample of cases/patients.,1/1/13,9/30/13
N10015,100249,Emergency Department,OP_18b,OP 18,97,958,,10/1/12,9/30/13
N100150,10025,Blood Clot Prevention and Treatment,VTE_3,Anticoagulation overlap therapy,NULL,NULL,"1 - The number of cases/patients is too few to report., 2 - Data submitted were based on a sample of cases/patients.",1/1/13,9/30/13
N100151,100252,Blood Clot Prevention and Treatment,VTE_4,Unfractionated heparin with dosages/platelet count monitoring,NULL,NULL,"1 - The number of cases/patients is too few to report., 2 - Data submitted were based on a sample of cases/patients.",1/1/13,9/30/13
N100152,100253,Blood Clot Prevention and Treatment,VTE_5,Warfarin therapy discharge instructions,NULL,NULL,"1 - The number of cases/patients is too few to report., 2 - Data submitted were based on a sample of cases/patients.",1/1/13,9/30/13
N100153,100254,Blood Clot Prevention and Treatment,VTE_6,Incidence of potentially preventable VTE,NULL,0,"2 - Data submitted were based on a sample of cases/patients., 7 - No cases met the criteria for this measure.",1/1/13,9/30/13
N100154,100255,Heart Attack or Chest Pain,AMI_10,Statin at Discharge,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
