hospital_associated_infection_id,provider_id,measure_name,measure_id,compared_to_national,score,footnote,measure_start_date,measure_end_date
H100029,100022,Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections),HAI_5_SIR,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H10003,100023,CLABSI Predicted Cases,HAI_1_ELIGCASES,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100030,100025,C.diff Lower Confidence Limit,HAI_6_CI_LOWER,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100031,100026,C.diff Upper Confidence Limit,HAI_6_CI_UPPER,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100032,100028,C.diff Patient Days,HAI_6_DOPC_DAYS,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100033,100029,C.diff Predicted Cases,HAI_6_ELIGCASES,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100034,100030,C.diff Observed Cases,HAI_6_NUMERATOR,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100035,100032,Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections),HAI_6_SIR,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100036,100034,CLABSI Lower Confidence Limit,HAI_1_CI_LOWER,NULL,NULL,"3 - Results are based on a shorter time period than required., 13 - Results cannot be calculated for this reporting period.",10/1/12,9/30/13
H100037,100035,CLABSI Upper Confidence Limit,HAI_1_CI_UPPER,NULL,NULL,"3 - Results are based on a shorter time period than required., 13 - Results cannot be calculated for this reporting period.",10/1/12,9/30/13
H100038,100038,CLABSI Central Line Days,HAI_1_DOPC_DAYS,NULL,4,"3 - Results are based on a shorter time period than required., 13 - Results cannot be calculated for this reporting period.",10/1/12,9/30/13
H100039,100039,CLABSI Predicted Cases,HAI_1_ELIGCASES,NULL,0.007,"3 - Results are based on a shorter time period than required., 13 - Results cannot be calculated for this reporting period.",10/1/12,9/30/13
H10004,100040,CLABSI Observed Cases,HAI_1_NUMERATOR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100040,100043,CLABSI Observed Cases,HAI_1_NUMERATOR,NULL,0,"3 - Results are based on a shorter time period than required., 13 - Results cannot be calculated for this reporting period.",10/1/12,9/30/13
H100041,100044,Central line-associated blood stream infections (CLABSI),HAI_1_SIR,NULL,NULL,"3 - Results are based on a shorter time period than required., 13 - Results cannot be calculated for this reporting period.",10/1/12,9/30/13
H100042,100045,CAUTI Lower Confidence Limit,HAI_2_CI_LOWER,NULL,NULL,"3 - Results are based on a shorter time period than required., 13 - Results cannot be calculated for this reporting period.",10/1/12,9/30/13
H100043,100046,CAUTI Upper Confidence Limit,HAI_2_CI_UPPER,NULL,NULL,"3 - Results are based on a shorter time period than required., 13 - Results cannot be calculated for this reporting period.",10/1/12,9/30/13
H100044,100047,CAUTI Urinary Catheter Days,HAI_2_DOPC_DAYS,NULL,42,"3 - Results are based on a shorter time period than required., 13 - Results cannot be calculated for this reporting period.",10/1/12,9/30/13
H100045,100048,CAUTI Predicted Cases,HAI_2_ELIGCASES,NULL,0.055,"3 - Results are based on a shorter time period than required., 13 - Results cannot be calculated for this reporting period.",10/1/12,9/30/13
H100046,100049,CAUTI Observed Cases,HAI_2_NUMERATOR,NULL,0,"3 - Results are based on a shorter time period than required., 13 - Results cannot be calculated for this reporting period.",10/1/12,9/30/13
H100047,10005,Catheter-Associated Urinary Tract Infections (CAUTI),HAI_2_SIR,NULL,NULL,"3 - Results are based on a shorter time period than required., 13 - Results cannot be calculated for this reporting period.",10/1/12,9/30/13
H100048,100050,SSI: Colon Lower Confidence Limit,HAI_3_CI_LOWER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100049,100051,SSI: Colon Upper Confidence Limit,HAI_3_CI_UPPER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H10005,100052,Central line-associated blood stream infections (CLABSI),HAI_1_SIR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100050,100053,"SSI: Colon, Number of Procedures",HAI_3_DOPC_DAYS,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100051,100054,SSI: Colon Predicted Cases,HAI_3_ELIGCASES,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100052,100055,SSI: Colon Observed Cases,HAI_3_NUMERATOR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100053,100057,Surgical Site Infection from colon surgery (SSI: Colon),HAI_3_SIR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100054,10006,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100055,100062,SSI: Abdominal Upper Confidence Limit,HAI_4_CI_UPPER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100056,100063,"SSI: Abdominal, Number of Procedures",HAI_4_DOPC_DAYS,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100057,100067,SSI: Abdominal Predicted Cases,HAI_4_ELIGCASES,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100058,100068,SSI: Abdominal Observed Cases,HAI_4_NUMERATOR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100059,100069,Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy),HAI_4_SIR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H10006,10007,CAUTI Lower Confidence Limit,HAI_2_CI_LOWER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100060,100070,MRSA Lower Confidence Limit,HAI_5_CI_LOWER,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100061,100071,MRSA Upper Confidence Limit,HAI_5_CI_UPPER,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100062,100072,MRSA Patient Days,HAI_5_DOPC_DAYS,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100063,100073,MRSA Predicted Cases,HAI_5_ELIGCASES,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100064,100075,MRSA Observed Cases,HAI_5_NUMERATOR,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100065,100076,Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections),HAI_5_SIR,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100066,100077,C.diff Lower Confidence Limit,HAI_6_CI_LOWER,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100067,100079,C.diff Upper Confidence Limit,HAI_6_CI_UPPER,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100068,10008,C.diff Patient Days,HAI_6_DOPC_DAYS,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100069,100080,C.diff Predicted Cases,HAI_6_ELIGCASES,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H10007,100081,CAUTI Upper Confidence Limit,HAI_2_CI_UPPER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100070,100084,C.diff Observed Cases,HAI_6_NUMERATOR,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100071,100086,Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections),HAI_6_SIR,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100072,100087,CLABSI Lower Confidence Limit,HAI_1_CI_LOWER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100073,100088,CLABSI Upper Confidence Limit,HAI_1_CI_UPPER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100074,100090,CLABSI Central Line Days,HAI_1_DOPC_DAYS,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100075,100092,CLABSI Predicted Cases,HAI_1_ELIGCASES,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100076,100093,CLABSI Observed Cases,HAI_1_NUMERATOR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100077,100099,Central line-associated blood stream infections (CLABSI),HAI_1_SIR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100078,10009,CAUTI Lower Confidence Limit,HAI_2_CI_LOWER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100079,100102,CAUTI Upper Confidence Limit,HAI_2_CI_UPPER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H10008,100105,CAUTI Urinary Catheter Days,HAI_2_DOPC_DAYS,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100080,100106,CAUTI Urinary Catheter Days,HAI_2_DOPC_DAYS,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100081,100107,CAUTI Predicted Cases,HAI_2_ELIGCASES,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100082,100109,CAUTI Observed Cases,HAI_2_NUMERATOR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100083,10011,Catheter-Associated Urinary Tract Infections (CAUTI),HAI_2_SIR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100084,100110,SSI: Colon Lower Confidence Limit,HAI_3_CI_LOWER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100085,100113,SSI: Colon Upper Confidence Limit,HAI_3_CI_UPPER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100086,100117,"SSI: Colon, Number of Procedures",HAI_3_DOPC_DAYS,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100087,100118,SSI: Colon Predicted Cases,HAI_3_ELIGCASES,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100088,10012,SSI: Colon Observed Cases,HAI_3_NUMERATOR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100089,100121,Surgical Site Infection from colon surgery (SSI: Colon),HAI_3_SIR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H10009,100122,CAUTI Predicted Cases,HAI_2_ELIGCASES,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100090,100124,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100091,100125,SSI: Abdominal Upper Confidence Limit,HAI_4_CI_UPPER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100092,100126,"SSI: Abdominal, Number of Procedures",HAI_4_DOPC_DAYS,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100093,100127,SSI: Abdominal Predicted Cases,HAI_4_ELIGCASES,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100094,100128,SSI: Abdominal Observed Cases,HAI_4_NUMERATOR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100095,100130,Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy),HAI_4_SIR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100096,100131,MRSA Lower Confidence Limit,HAI_5_CI_LOWER,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100097,100132,MRSA Upper Confidence Limit,HAI_5_CI_UPPER,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100098,100134,MRSA Patient Days,HAI_5_DOPC_DAYS,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100099,100135,MRSA Predicted Cases,HAI_5_ELIGCASES,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H1001,100137,CLABSI Upper Confidence Limit,HAI_1_CI_UPPER,No Different than U.S. National Benchmark,2.867,,10/1/12,9/30/13
H10010,100140,CAUTI Observed Cases,HAI_2_NUMERATOR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100100,100142,MRSA Observed Cases,HAI_5_NUMERATOR,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100101,100150,Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections),HAI_5_SIR,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100102,100151,C.diff Lower Confidence Limit,HAI_6_CI_LOWER,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100103,100154,C.diff Upper Confidence Limit,HAI_6_CI_UPPER,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100104,100156,C.diff Patient Days,HAI_6_DOPC_DAYS,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100105,100157,C.diff Predicted Cases,HAI_6_ELIGCASES,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100106,10016,C.diff Observed Cases,HAI_6_NUMERATOR,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100107,100161,Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections),HAI_6_SIR,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100108,100166,CLABSI Lower Confidence Limit,HAI_1_CI_LOWER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100109,100167,CLABSI Upper Confidence Limit,HAI_1_CI_UPPER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H10011,100168,Catheter-Associated Urinary Tract Infections (CAUTI),HAI_2_SIR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100110,100173,CLABSI Central Line Days,HAI_1_DOPC_DAYS,NULL,48,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100111,100175,CLABSI Predicted Cases,HAI_1_ELIGCASES,NULL,0.073,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100112,100176,CLABSI Observed Cases,HAI_1_NUMERATOR,NULL,0,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100113,100177,Central line-associated blood stream infections (CLABSI),HAI_1_SIR,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100114,100179,CAUTI Lower Confidence Limit,HAI_2_CI_LOWER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100115,10018,CAUTI Upper Confidence Limit,HAI_2_CI_UPPER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100116,100180,CAUTI Urinary Catheter Days,HAI_2_DOPC_DAYS,NULL,256,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100117,100181,CAUTI Predicted Cases,HAI_2_ELIGCASES,NULL,0.334,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100118,100183,CAUTI Observed Cases,HAI_2_NUMERATOR,NULL,0,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100119,100187,Catheter-Associated Urinary Tract Infections (CAUTI),HAI_2_SIR,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H10012,100189,SSI: Colon Lower Confidence Limit,HAI_3_CI_LOWER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100120,10019,SSI: Colon Lower Confidence Limit,HAI_3_CI_LOWER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100121,100191,SSI: Colon Upper Confidence Limit,HAI_3_CI_UPPER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100122,100200,"SSI: Colon, Number of Procedures",HAI_3_DOPC_DAYS,NULL,10,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100123,100204,SSI: Colon Predicted Cases,HAI_3_ELIGCASES,NULL,0.316,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100124,100206,SSI: Colon Observed Cases,HAI_3_NUMERATOR,NULL,0,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100125,100209,Surgical Site Infection from colon surgery (SSI: Colon),HAI_3_SIR,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100126,10021,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100127,100211,SSI: Abdominal Upper Confidence Limit,HAI_4_CI_UPPER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100128,100212,"SSI: Abdominal, Number of Procedures",HAI_4_DOPC_DAYS,NULL,2,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100129,100213,SSI: Abdominal Predicted Cases,HAI_4_ELIGCASES,NULL,0.02,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H10013,100217,SSI: Colon Upper Confidence Limit,HAI_3_CI_UPPER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100130,10022,SSI: Abdominal Observed Cases,HAI_4_NUMERATOR,NULL,0,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100131,100220,Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy),HAI_4_SIR,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100132,100223,MRSA Lower Confidence Limit,HAI_5_CI_LOWER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,1/1/13,9/30/13
H100133,100224,MRSA Upper Confidence Limit,HAI_5_CI_UPPER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,1/1/13,9/30/13
H100134,100226,MRSA Patient Days,HAI_5_DOPC_DAYS,NULL,4666,13 - Results cannot be calculated for this reporting period.,1/1/13,9/30/13
H100135,100228,MRSA Predicted Cases,HAI_5_ELIGCASES,NULL,0.167,13 - Results cannot be calculated for this reporting period.,1/1/13,9/30/13
H100136,10023,MRSA Observed Cases,HAI_5_NUMERATOR,NULL,0,13 - Results cannot be calculated for this reporting period.,1/1/13,9/30/13
H100137,100230,Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections),HAI_5_SIR,NULL,NULL,13 - Results cannot be calculated for this reporting period.,1/1/13,9/30/13
H100138,100231,C.diff Lower Confidence Limit,HAI_6_CI_LOWER,No Different than U.S. National Benchmark,0,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,1/1/13,9/30/13
H100139,100232,C.diff Upper Confidence Limit,HAI_6_CI_UPPER,No Different than U.S. National Benchmark,1.887,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,1/1/13,9/30/13
H10014,100234,"SSI: Colon, Number of Procedures",HAI_3_DOPC_DAYS,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100140,100236,C.diff Patient Days,HAI_6_DOPC_DAYS,No Different than U.S. National Benchmark,4484,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,1/1/13,9/30/13
H100141,100238,C.diff Predicted Cases,HAI_6_ELIGCASES,No Different than U.S. National Benchmark,1.955,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,1/1/13,9/30/13
H100142,100239,C.diff Observed Cases,HAI_6_NUMERATOR,No Different than U.S. National Benchmark,0,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,1/1/13,9/30/13
H100143,10024,Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections),HAI_6_SIR,No Different than U.S. National Benchmark,0,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,1/1/13,9/30/13
H100144,100240,CLABSI Lower Confidence Limit,HAI_1_CI_LOWER,No Different than U.S. National Benchmark,0.041,,10/1/12,9/30/13
H100145,100242,CLABSI Upper Confidence Limit,HAI_1_CI_UPPER,No Different than U.S. National Benchmark,4.063,,10/1/12,9/30/13
H100146,100243,CLABSI Central Line Days,HAI_1_DOPC_DAYS,No Different than U.S. National Benchmark,809,,10/1/12,9/30/13
H100147,100244,CLABSI Predicted Cases,HAI_1_ELIGCASES,No Different than U.S. National Benchmark,1.214,,10/1/12,9/30/13
H100148,100246,CLABSI Observed Cases,HAI_1_NUMERATOR,No Different than U.S. National Benchmark,1,,10/1/12,9/30/13
H100149,100248,Central line-associated blood stream infections (CLABSI),HAI_1_SIR,No Different than U.S. National Benchmark,0.824,,10/1/12,9/30/13
H10015,100249,SSI: Colon Predicted Cases,HAI_3_ELIGCASES,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100150,10025,CAUTI Lower Confidence Limit,HAI_2_CI_LOWER,No Different than U.S. National Benchmark,0,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H100151,100252,CAUTI Upper Confidence Limit,HAI_2_CI_UPPER,No Different than U.S. National Benchmark,1.872,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H100152,100253,CAUTI Urinary Catheter Days,HAI_2_DOPC_DAYS,No Different than U.S. National Benchmark,1230,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H100153,100254,CAUTI Predicted Cases,HAI_2_ELIGCASES,No Different than U.S. National Benchmark,1.6,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H100154,100255,CAUTI Observed Cases,HAI_2_NUMERATOR,No Different than U.S. National Benchmark,0,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H100155,100256,Catheter-Associated Urinary Tract Infections (CAUTI),HAI_2_SIR,No Different than U.S. National Benchmark,0,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H100156,100258,SSI: Colon Lower Confidence Limit,HAI_3_CI_LOWER,No Different than U.S. National Benchmark,0.558,,10/1/12,9/30/13
H100157,100259,SSI: Colon Upper Confidence Limit,HAI_3_CI_UPPER,No Different than U.S. National Benchmark,5.968,,10/1/12,9/30/13
H100158,100260,"SSI: Colon, Number of Procedures",HAI_3_DOPC_DAYS,No Different than U.S. National Benchmark,48,,10/1/12,9/30/13
H100159,100264,SSI: Colon Predicted Cases,HAI_3_ELIGCASES,No Different than U.S. National Benchmark,1.368,,10/1/12,9/30/13
H10016,100265,SSI: Colon Observed Cases,HAI_3_NUMERATOR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
