nursing_home_provider_info_id,provnum,provider_id,provider_name,address,city,state,zipcode,phone,county_ssa,county_name,ownership,bedcert,restot,certification,inhosp,lbn,participation_date,ccrc_facil,ssf,chow_last,resfamcouncil,sprinkler_status,overall_rating,overall_rating_fn,survey_rating,survey_rating_fn,quality_rating,quality_rating_fn,staffing_rating,staffing_rating_fn,RN_staffing_rating,RN_staffing_rating_fn,STAFFING_FLAG,PT_STAFFING_FLAG,AIDHRD,VOCHRD,RNHRD,TOTLICHRD,TOTHRD,PTHRD,exp_aide,exp_lpn,exp_rn,exp_total,adj_aide,adj_lpn,adj_rn,adj_total,cycle_1_defs,cycle_1_nfromdefs,cycle_1_nfromcomp,cycle_1_defs_score,CYCLE_1_SURVEY_DATE,CYCLE_1_NUMREVIS,CYCLE_1_REVISIT_SCORE,CYCLE_1_TOTAL_SCORE,cycle_2_defs,cycle_2_nfromdefs,cycle_2_nfromcomp,cycle_2_defs_score,CYCLE_2_SURVEY_DATE,CYCLE_2_NUMREVIS,CYCLE_2_REVISIT_SCORE,CYCLE_2_TOTAL_SCORE,cycle_3_defs,cycle_3_nfromdefs,cycle_3_nfromcomp,cycle_3_defs_score,CYCLE_3_SURVEY_DATE,CYCLE_3_NUMREVIS,CYCLE_3_REVISIT_SCORE,CYCLE_3_TOTAL_SCORE,WEIGHTED_ALL_CYCLES_SCORE,incident_cnt,cmplnt_cnt,FINE_CNT,FINE_TOT,PAYDEN_CNT,TOT_PENLTY_CNT,FILEDATE
b10009,335402,5030,"OASIS REHABILITATION AND NURSING, LLC",6 FROWEIN ROAD,CENTER MORICHES,NY,11934,(631) 878-4400,700,Suffolk,For profit - Corporation,100,85,Medicare and Medicaid,NO,"OASIS REHABILITATION AND NURSING, LLC",8/6/73,N,N,N,Resident,Yes,3,,2,,3,,4,,4,,,,2.54412,1.31176,1.14412,2.45588,5,0.18824,2.4102,0.67305,1.26655,4.3498,2.59004,1.61766,0.67497,4.63343,6,6,0,24,7/1/14,1,0,24,11,11,0,40,6/18/13,1,0,40,4,4,0,16,6/15/12,1,0,16,28,0,0,0,0,0,0,"10/1/14
"
b1001,15010,5031,COOSA VALLEY NURSING FACILITY,315 WEST HICKORY STREET,SYLACAUGA,AL,35150,(256) 249-5604,600,Talladega,Non profit - Other,85,74,Medicare and Medicaid,YES,THE SYLACAUGA HEALTH CARE AUTHORITY INC,1/1/67,N,N,N,Both,Yes,4,,2,,5,,5,,5,,,,4.31216,1.85135,1.87703,3.72838,8.04054,0.05338,2.12608,0.58569,0.90499,3.61676,4.97664,2.62363,1.54976,8.96123,2,2,0,32,8/8/13,1,0,32,5,1,4,48,7/26/12,1,0,48,1,1,0,4,7/8/11,1,0,4,32.667,0,2,0,0,0,0,"10/1/14
"
b10010,335403,5114,WAYNE HEALTH CARE,100 SUNSET DRIVE,NEWARK,NY,14513,(315) 332-2700,770,Wayne,Non profit - Corporation,182,165,Medicare and Medicaid,YES,NEWARK WAYNE COMMUNITY HOSPITAL,8/6/73,N,N,N,Resident,Partial,3,,2,,3,,5,,5,,,,2.92212,1.77788,1.00879,2.78667,5.70879,0.10394,2.56055,0.69968,1.00881,4.26903,2.80018,2.10903,0.74719,5.39035,7,7,0,32,1/3/14,1,0,32,5,5,1,36,12/7/12,1,0,36,10,10,0,32,1/18/12,1,0,32,33.333,0,1,0,0,0,0,"10/1/14
"
b10011,335404,5127,RENAISSANCE REHABILITATION AND NURSING CARE CENTER,4975 ALBANY POST ROAD,STAATSBURG,NY,12580,(845) 889-4500,230,Dutchess,For profit - Corporation,120,107,Medicare and Medicaid,NO,"HYDE PARK NURSING HOME, INC.",12/1/73,N,N,N,Resident,Partial,3,,3,,3,,3,,2,,,,1.94626,1.26636,0.50374,1.77009,3.71636,0.05,2.35724,0.67477,1.03086,4.06287,2.0259,1.55768,0.36513,3.68712,2,2,0,12,5/15/14,1,0,12,3,3,0,16,5/10/13,1,0,16,9,9,0,48,5/4/12,1,0,48,19.333,0,0,0,0,0,0,"10/1/14
"
b10012,335405,5128,FERNCLIFF NURSING HOME CO INC,21 FERNCLIFF DRIVE,RHINEBECK,NY,12572,(845) 876-2011,230,Dutchess,Non profit - Corporation,328,324,Medicare and Medicaid,NO,"FERNCLIFF NURSING HOME COMPANY, INC.",10/1/73,N,N,N,Resident,Partial,1,,2,,4,,1,,1,,,,1.81728,0.83827,0.34444,1.18272,2.99999,0.07608,2.48963,0.65199,1.01805,4.15967,1.79106,1.06715,0.2528,2.90712,4,4,0,20,5/14/14,1,0,20,12,12,0,52,8/23/13,1,0,52,0,0,0,0,10/26/12,0,0,0,27.333,0,0,0,0,0,0,"10/1/14
"
b10013,335406,5130,WAYNE COUNTY NURSING HOME,1529 NYE ROAD,LYONS,NY,14489,(315) 946-5673,770,Wayne,Government - County,192,180,Medicare and Medicaid,NO,COUNTY OF WAYNE,1/1/74,N,N,N,Resident,Yes,4,,4,,4,,3,,2,,,,2.55639,0.915,0.47778,1.39278,3.94917,0.06583,2.34858,0.67643,1.05217,4.07718,2.67082,1.12274,0.33929,3.90435,3,1,2,12,1/10/14,1,0,12,1,1,0,0,11/14/12,1,0,0,5,2,3,36,10/26/11,1,0,36,12,5,3,0,0,0,0,"10/1/14
"
b10014,335407,6005,PENFIELD PLACE,1700 PENFIELD RD,PENFIELD,NY,14526,(585) 586-7433,370,Monroe,For profit - Corporation,48,48,Medicare and Medicaid,NO,"PENFIELD PLACE, LLC",2/1/74,N,N,N,Resident,Yes,4,,3,,5,,2,,3,,,,1.66354,0.6625,0.67604,1.33854,3.00208,0.09479,2.35431,0.5862,1.03094,3.97145,1.73377,0.93803,0.48998,3.04702,4,4,0,20,3/28/14,1,0,20,6,6,0,24,5/1/13,1,0,24,1,1,0,4,6/8/12,1,0,4,18.667,0,0,0,0,0,0,"10/1/14
"
b10015,335408,6007,WEDGEWOOD NURSING HOME,5 CHURCH STREET,SPENCERPORT,NY,14559,(585) 352-4810,370,Monroe,For profit - Corporation,27,27,Medicare and Medicaid,NO,"WEDGEWOOD NURSING HOME, INC.",1/1/74,N,N,N,Both,Yes,5,,3,,5,,4,,3,,,,2.47963,1.06481,0.66111,1.72593,4.20555,0.22037,2.53355,0.70168,1.14052,4.37575,2.40148,1.25954,0.43312,3.87411,8,8,0,36,4/3/14,1,0,36,2,2,0,12,6/20/13,1,0,12,2,1,1,8,7/31/12,1,0,8,23.333,0,1,0,0,0,0,"10/1/14
"
b10016,335409,7003,SUNNYSIDE CARE CENTER,7000 COLLAMER RD,EAST SYRACUSE,NY,13057,(315) 656-7218,520,Onondaga,For profit - Corporation,80,74,Medicare and Medicaid,NO,SUNNYSIDE CARE CENTER LLC,1/1/74,N,N,N,Both,Yes,1,,1,,4,,1,,2,,,,1.52027,0.72365,0.54054,1.26419,2.78446,0.15473,2.7056,0.75537,1.20199,4.66296,1.37873,0.79515,0.33602,2.40703,11,11,2,68,9/11/13,1,0,68,7,7,0,36,1/16/13,1,0,36,3,3,1,16,2/17/12,1,0,16,48.667,0,3,0,0,0,0,"10/1/14
"
b10017,335410,8002,PORT JEFFERSON HEALTH CARE FACILITY,150 DARK HOLLOW ROAD,PORT JEFFERSON,NY,11777,(631) 473-5400,700,Suffolk,For profit - Corporation,120,104,Medicare and Medicaid,NO,GLEN HAVEN RESIDENTIAL HEALTHCARE FAC. INC,12/1/74,N,N,N,Both,Yes,1,,1,,4,,1,,2,,,,2.16298,0.79375,0.63846,1.43221,3.59519,0.16635,2.56974,0.69129,1.27449,4.53552,2.06531,0.95302,0.37431,3.19519,4,4,0,16,1/13/14,1,0,16,7,6,1,44,2/8/13,1,0,44,9,5,5,249,6/27/12,1,0,249,64.167,2,2,0,0,0,0,"10/1/14
"
b10018,335411,9002,SEA CREST HEALTH CARE CENTER,3035 WEST 24TH ST,BROOKLYN,NY,11224,(718) 372-4500,331,Kings,For profit - Corporation,320,183,Medicare and Medicaid,NO,"NEW SEA CREST HEALTH CARE CENTER, LLC",11/1/73,N,N,N,Both,Yes,4,,4,,4,,2,,4,,,,2.05464,0.32104,0.95027,1.27131,3.32595,0.10437,2.54487,0.71975,1.26415,4.52876,1.98104,0.37022,0.56168,2.96032,1,1,0,4,11/21/13,1,0,4,3,3,0,12,9/21/12,1,0,12,3,1,2,12,9/6/11,1,0,12,8,2,0,0,0,0,0,"10/1/14
"
b10019,335412,100001,OTSEGO MANOR,128 PHOENIX MILLS CROSS ROAD,COOPERSTOWN,NY,13326,(607) 544-2600,570,Otsego,Government - County,174,169,Medicare and Medicaid,NO,OTSEGO COUNTY COMMUNITY SERVICES,6/1/74,N,N,N,Both,Partial,2,,1,,3,,4,,3,,,,2.33107,1.27722,0.43817,1.71538,4.04646,0.04408,2.48218,0.57996,0.85158,3.91371,2.30433,1.82788,0.38446,4.16762,2,2,0,12,5/22/14,1,0,12,7,4,5,345,6/27/13,1,0,345,1,1,0,8,4/26/12,1,0,8,122.333,1,4,0,0,0,0,"10/1/14
"
b1002,15012,100002,HIGHLANDS HEALTH AND REHAB,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,(256) 218-3708,350,Jackson,Government - County,50,45,Medicare and Medicaid,YES,JACKSON COUNTY HEALTHCARE AUTHORITY,1/1/67,N,N,N,Both,Yes,4,,3,,2,,4,,4,,,,3.23111,1.05111,0.8,1.85111,5.08222,0.06333,2.59117,0.65845,0.9331,4.18272,3.05968,1.32496,0.64062,4.89775,3,3,0,20,4/3/14,1,0,20,3,3,0,24,1/10/13,1,0,24,6,5,6,28,1/12/12,1,0,28,22.667,1,3,0,0,0,0,"10/1/14
"
b10020,335413,100006,WASHINGTON CENTER FOR REHABILITATION & HEALTHCARE,ROUTE 40,ARGYLE,NY,12809,(518) 638-8274,760,Washington,For profit - Partnership,122,113,Medicare and Medicaid,NO,WASHINGTON OPERATIONS ASSOCIATES LLC,7/1/74,N,N,N,Both,Yes,2,,1,,3,,4,,2,,,,3.92788,2.35929,0.49867,2.85796,6.78584,0.14115,2.48084,0.64828,1.12929,4.25841,3.88491,3.02063,0.32995,6.4233,5,4,1,60,8/1/14,1,0,60,10,6,4,72,9/12/13,1,0,72,18,7,11,1323,3/7/13,1,0,1323,274.5,11,4,1,1040,1,2,"10/1/14
"
b10021,335415,100007,LAWRENCE NURSING CARE CENTER,350 BEACH 54TH STREET,ARVERNE,NY,11692,(718) 945-0400,590,Queens,For profit - Corporation,200,185,Medicare and Medicaid,NO,LAWRENCE NURSING CARE CENTER,6/1/74,N,N,N,Resident,Yes,3,,2,,5,,0,Data Not Available,0,Data Not Available,Staffing Values not Reported because of Data Quality Concerns,Physical Therapy Staffing Values not Reported because of Data Quality Concerns,0,0,0,0,0,0,2.21793,0.57922,0.98358,3.78073,0,0,0,0,4,4,0,20,3/6/14,1,0,20,11,9,2,52,2/20/13,1,0,52,6,6,0,20,2/9/12,1,0,20,30.667,1,3,0,0,0,0,"10/1/14
"
b10022,335416,100008,DRY HARBOR NURSING HOME,61 35 DRY HARBOR ROAD,MIDDLE VILLAGE,NY,11379,(718) 565-4200,590,Queens,For profit - Corporation,360,343,Medicare and Medicaid,NO,DRY HARBOR HRF INC,6/1/74,N,N,N,Both,Yes,5,,5,,5,,2,,3,,,,2.2105,0.40627,0.59694,1.00321,3.21371,0.07201,2.56508,0.67231,1.13224,4.36963,2.11451,0.50156,0.39394,2.96459,0,0,0,0,12/31/13,0,0,0,2,2,0,8,11/9/12,1,0,8,7,7,0,24,11/9/11,1,0,24,6.667,0,0,0,0,0,0,"10/1/14
"
b10023,335418,100009,NORTHERN RIVERVIEW HEALTH CARE,87 SOUTH ROUTE 9W,HAVERSTRAW,NY,10927,(845) 429-5381,620,Rockland,Non profit - Corporation,182,171,Medicare and Medicaid,NO,NORTHERN RIVERVIEW HEALTH CARE CENTER INC,7/1/74,N,N,N,Resident,Partial,3,,2,,4,,4,,3,,,,3.24006,1.41082,0.94123,2.35205,5.59211,0.11725,2.59915,0.80854,1.43589,4.84358,3.05874,1.44827,0.48979,4.65384,8,8,0,32,12/5/13,1,0,32,1,1,0,4,3/21/13,1,0,4,14,14,0,56,4/24/12,1,0,56,26.667,0,0,0,0,0,0,"10/1/14
"
b10024,335419,10001,ST CATHERINE LABOURE HEALTH CARE CENTER,2157 MAIN STREET,BUFFALO,NY,14214,(716) 862-2000,240,Erie,Non profit - Church related,80,78,Medicare and Medicaid,YES,SISTERS OF CHARITY HOSPITAL OF BUFFALO NEW YORK,6/10/74,N,N,N,Both,Partial,5,,5,,3,,3,,3,,,,2.32244,0.98077,0.62436,1.60513,3.92757,0,2.76213,0.70859,0.96856,4.43928,2.06311,1.14882,0.48167,3.56626,1,1,0,4,12/19/13,1,0,4,2,2,0,4,1/24/13,1,0,4,3,3,0,12,1/6/12,1,0,12,5.333,0,0,0,0,0,0,"10/1/14
"
b10025,335421,100012,TARRYTOWN HALL CARE CENTER,20 WOOD COURT,TARRYTOWN,NY,10591,(914) 631-2600,800,Westchester,For profit - Corporation,120,107,Medicare and Medicaid,NO,PHARNEY GROUP LLC.,10/1/74,N,N,N,Resident,Partial,2,,2,,5,,1,,1,,,,2.21168,0.86636,0.48598,1.35234,3.56402,0.27103,2.47028,0.67204,1.28719,4.42951,2.19683,1.07,0.28211,3.2433,4,4,0,20,3/10/14,1,0,20,8,5,3,56,1/17/13,1,0,56,4,4,0,16,1/24/12,1,0,16,31.333,0,1,0,0,0,0,"10/1/14
"
b10026,335422,100014,RIVER RIDGE LIVING CENTER,100 SANDY DRIVE,AMSTERDAM,NY,12010,(518) 843-3503,380,Montgomery,For profit - Corporation,120,117,Medicare and Medicaid,NO,RIVER RIDGE OPERATING LLC,12/1/74,N,N,N,Resident,Partial,2,,3,,4,,1,,1,,,,1.75299,1.12821,0.42863,1.55684,3.30983,0.04744,2.61553,0.73108,1.14571,4.49232,1.64453,1.28087,0.27954,2.96987,8,7,1,40,3/6/14,1,0,40,2,2,0,8,2/19/13,1,0,8,3,1,2,12,1/6/12,1,0,12,24.667,0,2,0,0,0,0,"10/1/14
"
b10027,335423,100017,GENESEE COUNTY NURSING HOME,278 BANK STREET,BATAVIA,NY,14020,(585) 344-0584,290,Genesee,Government - County,160,158,Medicare and Medicaid,NO,COUNTY OF GENESEE,6/1/74,N,N,N,Both,Yes,3,,2,,4,,4,,4,,,,2.56677,0.73481,0.75601,1.49082,4.05759,0.05095,2.57925,0.63738,0.98658,4.20322,2.44182,0.95687,0.57257,3.89124,11,11,0,44,4/15/14,1,0,44,6,6,2,24,6/28/13,1,0,24,8,4,4,36,8/17/12,1,0,36,36,2,4,0,0,0,0,"10/1/14
"
b10028,335424,100018,SCHNURMACHER CENTER FOR REHAB & NURSING,12 TIBBITS AVENUE,WHITE PLAINS,NY,10606,(914) 287-7200,800,Westchester,Non profit - Corporation,225,194,Medicare and Medicaid,NO,SCHNURMACHER CENTER FOR REHAB,11/1/74,N,N,N,Both,Partial,4,,4,,5,,1,,1,,,,1.96443,0.70387,0.42603,1.1299,3.09433,0.02397,2.46217,0.70869,1.16874,4.33959,1.95767,0.82436,0.27237,2.87422,2,2,0,8,8/22/14,0,0,8,4,4,0,16,7/12/13,1,0,16,8,8,0,32,7/16/12,1,0,32,14.667,0,0,0,0,0,0,"10/1/14
"
b10029,335425,100019,ALBANY COUNTY NURSING HOME,780 ALBANY SHAKER ROAD,ALBANY,NY,12211,(518) 869-2231,0,Albany,Government - County,420,227,Medicare and Medicaid,NO,COUNTY OF ALBANY,11/1/74,N,N,N,Both,Yes,2,,1,,4,,4,,4,,,,2.60859,0.78502,0.73656,1.52159,4.13017,0.04251,2.31266,0.6093,0.8812,3.80316,2.76768,1.06937,0.62455,4.37749,19,12,8,88,1/31/14,1,0,88,3,1,2,12,12/18/12,1,0,12,10,9,1,60,12/22/11,1,0,60,58,1,8,0,0,0,0,"10/1/14
"
b1003,15014,100022,EASTVIEW REHABILITATION & HEALTHCARE CENTER,7755 FOURTH AVENUE SOUTH,BIRMINGHAM,AL,35206,(205) 833-0146,360,Jefferson,For profit - Corporation,92,82,Medicare and Medicaid,NO,BALL HEALTHCARE EASTVIEW INC,1/1/67,N,N,N,Both,Yes,5,,5,,5,,5,,5,,,,2.59756,1.06951,0.89268,1.9622,4.55975,0.01159,2.40757,0.63551,0.9156,3.95868,2.64733,1.39682,0.72849,4.64293,3,3,0,12,12/19/13,1,0,12,2,2,1,8,11/8/12,1,0,8,0,0,0,0,10/18/11,0,0,0,8.667,0,0,1,14000,0,1,"10/1/14
"
b10030,335426,100023,FRANKLIN CENTER FOR REHAB AND NURSING,142 27 FRANKLIN AVENUE,FLUSHING,NY,11355,(718) 670-3400,590,Queens,For profit - Corporation,320,313,Medicare and Medicaid,NO,NEW FRANKLIN REHABILIATION AND HEALTH CARE FACILITY,12/1/74,N,N,N,Both,Yes,5,,5,,5,,1,,2,,,,2.30527,0.77284,0.64521,1.41805,3.72332,0.07077,2.74726,0.82528,1.29412,4.86666,2.05894,0.77726,0.37253,3.08391,1,1,0,4,6/30/14,1,0,4,4,4,0,12,5/21/13,1,0,12,0,0,0,0,4/19/12,0,0,0,6,2,1,0,0,0,0,"10/1/14
"
b10031,335427,100025,ONEIDA HEALTHCARE,323 GENESEE STREET,ONEIDA,NY,13421,(315) 363-6000,360,Madison,Non profit - Corporation,160,152,Medicare and Medicaid,NO,"ONEIDA HEALTH SYSTEMS, INC",8/5/74,N,N,N,Resident,Yes,3,,3,,4,,3,,4,,,,2.00789,0.86086,0.89605,1.75691,3.7648,0.07533,2.59691,0.73698,1.13502,4.4689,1.89716,0.96952,0.58988,3.39581,4,4,0,20,5/19/14,1,0,20,5,5,0,20,4/25/13,1,0,20,2,2,0,8,8/9/12,1,0,8,18,0,0,0,0,0,0,"10/1/14
"
b10032,335428,100026,LEWIS COUNTY R H C F,7785 NORTH STATE STREET,LOWVILLE,NY,13367,(315) 376-5200,340,Lewis,Government - County,160,158,Medicare and Medicaid,YES,LEWIS COUNTY GENERAL HOSPITAL,1/1/75,N,N,N,Both,Yes,5,,4,,5,,3,,2,,,,2.65443,1.10222,0.40348,1.5057,4.16013,0.03608,2.60504,0.61234,0.89545,4.11284,2.50022,1.494,0.33668,4.07725,2,2,0,12,11/8/13,1,0,12,2,2,1,16,11/8/12,1,0,16,5,5,1,20,11/10/11,1,0,20,14.667,1,1,0,0,0,0,"10/1/14
"
b10033,335429,100028,ADIRONDACK TRI COUNTY NURSING & REHABILITATION CTR,112 SKI BOWL ROAD,NORTH CREEK,NY,12853,(518) 251-2447,750,Warren,Non profit - Corporation,82,75,Medicare and Medicaid,NO,"ADIRONDACK TRI-COUNTY NURSING AND REHABILITATION CENTER, INC",10/2/74,N,N,N,Resident,Partial,3,,2,,3,,4,,4,,,,2.136,0.87533,0.68067,1.556,3.692,0.12467,2.26785,0.59169,0.92449,3.78403,2.31105,1.22789,0.55013,3.93287,1,0,1,4,10/31/13,0,0,4,11,10,1,68,12/7/12,1,0,68,2,2,0,12,12/20/11,1,0,12,26.667,1,3,0,0,0,0,"10/1/14
"
b10034,335431,100029,SAMARITAN KEEP NURSING HOME INC,133 PRATT ST,WATERTOWN,NY,13601,(315) 785-4400,330,Jefferson,Non profit - Corporation,272,266,Medicare and Medicaid,NO,SAMARITAN KEEP NURSING HOME INC,1/1/75,N,N,N,Both,Yes,2,,2,,2,,3,,2,,,,2.52838,0.9,0.38665,1.28665,3.81503,0.04305,2.57067,0.6506,0.93358,4.15485,2.41333,1.14817,0.30946,3.70122,6,5,4,24,4/4/14,1,0,24,8,8,2,48,3/7/13,1,0,48,11,11,0,76,2/17/12,1,0,76,40.667,2,1,0,0,0,0,"10/1/14
"
